# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
-0.0000000000000000e+00 +9.1476323485342608e+00 +0.0000000000000000e+00 -0.0000000000000000e+00 +2.9568800789611937e-04 -5.2564521302245715e-01 -2.0605669235941610e-03
-1.0000000000000001e-01 +9.1476318316365202e+00 +0.0000000000000000e+00 -9.9999999998218805e-02 +2.9570009975291077e-04 -5.2564535280851565e-01 -2.0604188822592614e-03
-2.0000000000000001e-01 +9.1476302809427192e+00 +0.0000000000000000e+00 -1.9999999998574999e-01 +2.9571437050248382e-04 -5.2564546026200043e-01 -2.0602626296470209e-03
-2.9999999999999999e-01 +9.1476276964536503e+00 +0.0000000000000000e+00 -2.9999999995190701e-01 +2.9572853603472993e-04 -5.2564554276979258e-01 -2.0600975455120109e-03
-4.0000000000000002e-01 +9.1476240781675404e+00 +0.0000000000000000e+00 -3.9999999988600199e-01 +2.9574031228733283e-04 -5.2564560771906932e-01 -2.0599230096143483e-03
-5.0000000000000000e-01 +9.1476194260861501e+00 +0.0000000000000000e+00 -4.9999999977734699e-01 +2.9574741522892493e-04 -5.2564566249737354e-01 -2.0597384017319509e-03
-5.9999999999999998e-01 +9.1476137402094899e+00 +0.0000000000000000e+00 -5.9999999961525596e-01 +2.9574756084220109e-04 -5.2564571449269859e-01 -2.0595431016727957e-03
-6.9999999999999996e-01 +9.1476070205357907e+00 +0.0000000000000000e+00 -6.9999999938904001e-01 +2.9573846510705186e-04 -5.2564577109356514e-01 -2.0593364892871843e-03
-8.0000000000000004e-01 +9.1475992670650292e+00 +0.0000000000000000e+00 -7.9999999908801400e-01 +2.9571784398371026e-04 -5.2564583968909617e-01 -2.0591179444799943e-03
-9.0000000000000002e-01 +9.1475904798007797e+00 +0.0000000000000000e+00 -8.9999999870148795e-01 +2.9568341339589302e-04 -5.2564592766909191e-01 -2.0588868472229400e-03
-1.0000000000000000e+00 +9.1475806587394892e+00 +0.0000000000000000e+00 -9.9999999821877705e-01 +2.9563288921389565e-04 -5.2564604242411983e-01 -2.0586425775668341e-03
-1.1000000000000001e+00 +9.1475698038829201e+00 +0.0000000000000000e+00 -1.0999999976291901e+00 +2.9556498429209922e-04 -5.2564618878826619e-01 -2.0583846412189611e-03
-1.2000000000000000e+00 +9.1475579152292994e+00 +0.0000000000000000e+00 -1.1999999969220501e+00 +2.9548239963696758e-04 -5.2564636136696041e-01 -2.0581130462137163e-03
-1.3000000000000000e+00 +9.1475449927804107e+00 +0.0000000000000000e+00 -1.2999999960866500e+00 +2.9538883327147959e-04 -5.2564655220832368e-01 -2.0578279261539295e-03
-1.3999999999999999e+00 +9.1475310365362503e+00 +0.0000000000000000e+00 -1.3999999951123201e+00 +2.9528798318268753e-04 -5.2564675336028410e-01 -2.0575294146258265e-03
-1.5000000000000000e+00 +9.1475160464950402e+00 +0.0000000000000000e+00 -1.4999999939883699e+00 +2.9518354731900655e-04 -5.2564695687044305e-01 -2.0572176451871737e-03
-1.6000000000000001e+00 +9.1475000226585603e+00 +0.0000000000000000e+00 -1.5999999927041100e+00 +2.9507922358752204e-04 -5.2564715478593727e-01 -2.0568927513554091e-03
-1.7000000000000000e+00 +9.1474829650268106e+00 +0.0000000000000000e+00 -1.6999999912488499e+00 +2.9497870985125795e-04 -5.2564733915331041e-01 -2.0565548665957829e-03
-1.8000000000000000e+00 +9.1474648735980093e+00 +0.0000000000000000e+00 -1.7999999896119101e+00 +2.9488570392646220e-04 -5.2564750201838084e-01 -2.0562041243094918e-03
-1.8999999999999999e+00 +9.1474457483739400e+00 +0.0000000000000000e+00 -1.8999999877825899e+00 +2.9480390357990871e-04 -5.2564763542610204e-01 -2.0558406578218202e-03
-2.0000000000000000e+00 +9.1474255893528191e+00 +0.0000000000000000e+00 -1.9999999857502100e+00 +2.9473700652615418e-04 -5.2564773142043741e-01 -2.0554646003702734e-03
-2.1000000000000001e+00 +9.1474043965364302e+00 +0.0000000000000000e+00 -2.0999999835040901e+00 +2.9468761940564404e-04 -5.2564778493809172e-01 -2.0550762354307104e-03
