# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
-0.0000000000000000e+00 +9.1476323485342608e+00 +0.0000000000000000e+00 -0.0000000000000000e+00 +3.4373049004541895e-03 -6.1842685591320987e-02 +2.6642055932177684e-04
-1.0000000000000001e-01 +9.1476318316365202e+00 +0.0000000000000000e+00 -9.9999999998218805e-02 +3.4373446813303048e-03 -6.1842665268577034e-02 +2.6640797437254556e-04
-2.0000000000000001e-01 +9.1476302809427192e+00 +0.0000000000000000e+00 -1.9999999998574999e-01 +3.4373858319070799e-03 -6.1842645272083718e-02 +2.6639626066478816e-04
-2.9999999999999999e-01 +9.1476276964536503e+00 +0.0000000000000000e+00 -2.9999999995190701e-01 +3.4374283278592230e-03 -6.1842625618200940e-02 +2.6638534310341108e-04
-4.0000000000000002e-01 +9.1476240781675404e+00 +0.0000000000000000e+00 -3.9999999988600199e-01 +3.4374721448656906e-03 -6.1842606323294039e-02 +2.6637514659128128e-04
-5.0000000000000000e-01 +9.1476194260861501e+00 +0.0000000000000000e+00 -4.9999999977734699e-01 +3.4375172586085271e-03 -6.1842587403732149e-02 +2.6636559602771174e-04
-5.9999999999999998e-01 +9.1476137402094899e+00 +0.0000000000000000e+00 -5.9999999961525596e-01 +3.4375636447718022e-03 -6.1842568875887641e-02 +2.6635661630698335e-04
-6.9999999999999996e-01 +9.1476070205357907e+00 +0.0000000000000000e+00 -6.9999999938904001e-01 +3.4376112790405096e-03 -6.1842550756135338e-02 +2.6634813231685031e-04
-8.0000000000000004e-01 +9.1475992670650292e+00 +0.0000000000000000e+00 -7.9999999908801400e-01 +3.4376601370994255e-03 -6.1842533060850850e-02 +2.6634006893703246e-04
-9.0000000000000002e-01 +9.1475904798007797e+00 +0.0000000000000000e+00 -8.9999999870148795e-01 +3.4377101946319846e-03 -6.1842515806409315e-02 +2.6633235103771451e-04
-1.0000000000000000e+00 +9.1475806587394892e+00 +0.0000000000000000e+00 -9.9999999821877705e-01 +3.4377614273192730e-03 -6.1842499009185953e-02 +2.6632490347808712e-04
-1.1000000000000001e+00 +9.1475698038829201e+00 +0.0000000000000000e+00 -1.0999999976291901e+00 +3.4378138108388094e-03 -6.1842482685553223e-02 +2.6631765110480908e-04
-1.2000000000000000e+00 +9.1475579152292994e+00 +0.0000000000000000e+00 -1.1999999969220501e+00 +3.4378673208635114e-03 -6.1842466851881002e-02 +2.6631051875054238e-04
