# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -1.0155034779050292e+00 +2.2412048369435160e+00 +2.2673468413540707e+01 +1.6741012145599763e+02 -4.7062542206416729e+04 -1.0782966704755997e+05 +2.1984846382826748e+08 
+1.0000000000000001e-01 -1.0155027975119921e+00 +2.2411761204923630e+00 +2.2681459206690942e+01 +1.6838350794832954e+02 -4.7232915797672082e+04 -1.1338526373425851e+05 +2.2060930615861776e+08 
+2.0000000000000001e-01 -1.0155020888177897e+00 +2.2411453974228124e+00 +2.2687215023572179e+01 +1.6935675295518831e+02 -4.7372904403396271e+04 -1.1869051956121458e+05 +2.2125504658815083e+08 
+3.0000000000000004e-01 -1.0155013533786232e+00 +2.2411128945546741e+00 +2.2690878430135598e+01 +1.7032628097919081e+02 -4.7484180183928715e+04 -1.2373874319389826e+05 +2.2179134310882202e+08 
+4.0000000000000002e-01 -1.0155005927506560e+00 +2.2410788387275895e+00 +2.2692591988619061e+01 +1.7128851603544501e+02 -4.7568415244107884e+04 -1.2852324084244708e+05 +2.2222385347833943e+08 
+5.0000000000000000e-01 -1.0154998084901017e+00 +2.2410434567978390e+00 +2.2692498270827247e+01 +1.7223988171409516e+02 -4.7627281904702948e+04 -1.3303731651506800e+05 +2.2255823657084572e+08 
+5.9999999999999998e-01 -1.0154990021531884e+00 +2.2410069756336024e+00 +2.2690739852586365e+01 +1.7317680132515210e+02 -4.7662452587334119e+04 -1.3727427287890407e+05 +2.2280015180321863e+08 
+6.9999999999999996e-01 -1.0154981752961472e+00 +2.2409696221126545e+00 +2.2687459311483973e+01 +1.7409569791537916e+02 -4.7675599765615996e+04 -1.4122741118321809e+05 +2.2295525889117315e+08 
+7.9999999999999993e-01 -1.0154973294752607e+00 +2.2409316231219694e+00 +2.2682799233965621e+01 +1.7499299427820145e+02 -4.7668396106629079e+04 -1.4489003130417498e+05 +2.2302921854451177e+08 
+8.9999999999999991e-01 -1.0154964662467973e+00 +2.2408932055566195e+00 +2.2676902205949546e+01 +1.7586511294919248e+02 -4.7642514283634810e+04 -1.4825543159349984e+05 +2.2302769155224466e+08 
+9.9999999999999989e-01 -1.0154955871670890e+00 +2.2408545963115007e+00 +2.2669910822972859e+01 +1.7670847644007458e+02 -4.7599627173256471e+04 -1.5131691021022413e+05 +2.2295633973931044e+08 
+1.0999999999999999e+00 -1.0154946937924627e+00 +2.2408160222784157e+00 +2.2661967681328544e+01 +1.7751950729772133e+02 -4.7541407681956371e+04 -1.5406776536688543e+05 +2.2282082512872484e+08 
+1.2000000000000000e+00 -1.0154937876792949e+00 +2.2407777103546014e+00 +2.2653215384075477e+01 +1.7829462783428923e+02 -4.7469528856613768e+04 -1.5650129368302933e+05 +2.2262681046100575e+08 
+1.3000000000000000e+00 -1.0154928703840225e+00 +2.2407398874252378e+00 +2.2643796543587285e+01 +1.7903026061044676e+02 -4.7385663938523699e+04 -1.5861079290933866e+05 +2.2237995946867034e+08 
+1.4000000000000001e+00 -1.0154919434630654e+00 +2.2407027803732023e+00 +2.2633853770086308e+01 +1.7972282813825541e+02 -4.7291486135351261e+04 -1.6038956014037397e+05 +2.2208593577067792e+08 
+1.5000000000000002e+00 -1.0154910084729352e+00 +2.2406666160683466e+00 +2.2623529686274310e+01 +1.8036875316791847e+02 -4.7188668901808807e+04 -1.6183089339653979e+05 +2.2175040421265200e+08 
+1.6000000000000003e+00 -1.0154900669701339e+00 +2.2406316213698148e+00 +2.2612966913920943e+01 +1.8096445859698605e+02 -4.7078885683932116e+04 -1.6292809101396921e+05 +2.2137902965596208e+08 
+1.7000000000000004e+00 -1.0154891205112750e+00 +2.2405980231191549e+00 +2.2602308088995553e+01 +1.8150636766013196e+02 -4.6963810204161702e+04 -1.6367445269687445e+05 +2.2097747832906538e+08 
+1.8000000000000005e+00 -1.0154881706529477e+00 +2.2405660481430170e+00 +2.2591695844277869e+01 +1.8199090382171866e+02 -4.6845116125167478e+04 -1.6406327880047812e+05 +2.2055141621400058e+08 
+1.9000000000000006e+00 -1.0154872189518114e+00 +2.2405359232454152e+00 +2.2581272821602660e+01 +1.8241449097648479e+02 -4.6724477288685601e+04 -1.6408787140575272e+05 +2.2010651020531586e+08 
+2.0000000000000004e+00 -1.0154862669646110e+00 +2.2405078752114242e+00 +2.2571181672872733e+01 +1.8277355331845641e+02 -4.6603567727920679e+04 -1.6374153348011171e+05 +2.1964842815354830e+08 
+2.1000000000000005e+00 -1.0154853159659034e+00 +2.2404820991903596e+00 +2.2561542200416703e+01 +1.8306512004709981e+02 -4.6483835498781475e+04 -1.6302013529216027e+05 +2.1918223709637836e+08 
+2.2000000000000006e+00 -1.0154843660647301e+00 +2.2404586611195647e+00 +2.2552378390256372e+01 +1.8328895537714689e+02 -4.6365735245450516e+04 -1.6193178377361962e+05 +2.1871014849320656e+08 
+2.3000000000000007e+00 -1.0154834170695684e+00 +2.2404375940523940e+00 +2.2543689171770200e+01 +1.8344558264957055e+02 -4.6249451284293595e+04 -1.6048811327808729e+05 +2.1823354934694451e+08 
+2.4000000000000008e+00 -1.0154824687888049e+00 +2.2404189310423805e+00 +2.2535473460105969e+01 +1.8353552511893122e+02 -4.6135167621902583e+04 -1.5870075738747235e+05 +2.1775382506205109e+08 
+2.5000000000000009e+00 -1.0154815210308792e+00 +2.2404027051402813e+00 +2.2527730175117004e+01 +1.8355930602094747e+02 -4.6023068325703774e+04 -1.5658134928144224e+05 +2.1727236123733607e+08 
+2.6000000000000010e+00 -1.0154805736041983e+00 +2.2403889493954625e+00 +2.2520458230188208e+01 +1.8351744855382788e+02 -4.5913337298508668e+04 -1.5414152168556504e+05 +2.1679054254961532e+08 
+2.7000000000000011e+00 -1.0154796263171777e+00 +2.2403776968572737e+00 +2.2513656536809204e+01 +1.8341047583667728e+02 -4.5806158363556104e+04 -1.5139290662575507e+05 +2.1630975315145019e+08 
+2.8000000000000012e+00 -1.0154786789782348e+00 +2.2403689805738480e+00 +2.2507324004081362e+01 +1.8323891093033424e+02 -4.5701715255019255e+04 -1.4834713551699842e+05 +2.1583137662224105e+08 
+2.9000000000000012e+00 -1.0154777313957517e+00 +2.2403628335935726e+00 +2.2501459532703773e+01 +1.8300327682543499e+02 -4.5600191490979916e+04 -1.4501583918029626e+05 +2.1535679532249963e+08 
+3.0000000000000013e+00 -1.0154767833780887e+00 +2.2403592889671380e+00 +2.2496062017404185e+01 +1.8270409636421576e+02 -4.5501770422010530e+04 -1.4141064734144794e+05 +2.1488739063159475e+08 
+3.1000000000000014e+00 -1.0154758347336044e+00 +2.2403583797432312e+00 +2.2491130349219425e+01 +1.8234189237392707e+02 -4.5406635272333449e+04 -1.3754318942435243e+05 +2.1442454313003638e+08 
+3.2000000000000015e+00 -1.0154748852706426e+00 +2.2403601389740517e+00 +2.2486663412255439e+01 +1.8191718752128261e+02 -4.5314969063497687e+04 -1.3342509376005695e+05 +2.1396963219418988e+08 
+3.3000000000000016e+00 -1.0154739347974708e+00 +2.2403645997123180e+00 +2.2482660077549699e+01 +1.8143050438116984e+02 -4.5226954505813315e+04 -1.2906798792882473e+05 +2.1352403549669334e+08 
+3.4000000000000017e+00 -1.0154729831223848e+00 +2.2403717950173756e+00 +2.2479119215051963e+01 +1.8088236527088372e+02 -4.5142774218121580e+04 -1.2448349783245714e+05 +2.1308913002792972e+08 
+3.5000000000000018e+00 -1.0154720300535895e+00 +2.2403817579480880e+00 +2.2476039676961499e+01 +1.8027329246656737e+02 -4.5062610394349009e+04 -1.1968324898673328e+05 +2.1266629045860168e+08 
+3.6000000000000019e+00 -1.0154710753993235e+00 +2.2403945215674459e+00 +2.2473420316482564e+01 +1.7960380806640686e+02 -4.4986645181810592e+04 -1.1467886571851926e+05 +2.1225689099523211e+08 
+3.7000000000000020e+00 -1.0154701189677151e+00 +2.2404101189418877e+00 +2.2471259966399085e+01 +1.7887443401465657e+02 -4.4915060245404959e+04 -1.0948197132178022e+05 +2.1186230322649151e+08 
+3.8000000000000020e+00 -1.0154691605668800e+00 +2.2404285831467856e+00 +2.2469557452066663e+01 +1.7808569193412697e+02 -4.4848037021407596e+04 -1.0410418705507980e+05 +2.1148389734366962e+08 
+3.9000000000000021e+00 -1.0154682000049042e+00 +2.2404499472570789e+00 +2.2468311589437310e+01 +1.7723810342032596e+02 -4.4785756674155928e+04 -9.8557133927982533e+04 +2.1112304191503865e+08 
+4.0000000000000018e+00 -1.0154672370897675e+00 +2.2404742443542403e+00 +2.2467521174904697e+01 +1.7633218982555991e+02 -4.4728399900399338e+04 -9.2852431389258010e+04 +2.1078110294575053e+08 
