# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +9.0449999999999999e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-1.0000000000000001e-01 +9.0449994822814386e+00 +0.0000000000000000e+00 -9.9999999998213102e-02 +1.0354379499555517e-05 +0.0000000000000000e+00 +9.9999999994639344e-01
-2.0000000000000001e-01 +9.0449979291224540e+00 +0.0000000000000000e+00 -1.9999999998570483e-01 +2.0708808377191387e-05 +0.0000000000000000e+00 +9.9999999978557264e-01
-3.0000000000000004e-01 +9.0449953405181400e+00 +0.0000000000000000e+00 -2.9999999995175375e-01 +3.1063285966492548e-05 +0.0000000000000000e+00 +9.9999999951753615e-01
-4.0000000000000002e-01 +9.0449917164636577e+00 +0.0000000000000000e+00 -3.9999999988563817e-01 +4.1417811624417373e-05 +0.0000000000000000e+00 +9.9999999914228244e-01
-5.0000000000000000e-01 +9.0449870569542323e+00 +0.0000000000000000e+00 -4.9999999977663628e-01 +5.1772384731298406e-05 +0.0000000000000000e+00 +9.9999999865981004e-01
-5.9999999999999998e-01 +9.0449813619851493e+00 +0.0000000000000000e+00 -5.9999999961402617e-01 +6.2127004690842939e-05 +0.0000000000000000e+00 +9.9999999807011763e-01
-6.9999999999999996e-01 +9.0449746315517512e+00 +0.0000000000000000e+00 -6.9999999938708579e-01 +7.2481670930133526e-05 +0.0000000000000000e+00 +9.9999999737320366e-01
-7.9999999999999993e-01 +9.0449668656494389e+00 +0.0000000000000000e+00 -7.9999999908509289e-01 +8.2836382899628282e-05 +0.0000000000000000e+00 +9.9999999656906680e-01
-8.9999999999999991e-01 +9.0449580642736649e+00 +0.0000000000000000e+00 -8.9999999869732505e-01 +9.3191140073161101e-05 +0.0000000000000000e+00 +9.9999999565770570e-01
-9.9999999999999989e-01 +9.0449482274199351e+00 +0.0000000000000000e+00 -9.9999999821305985e-01 +1.0354594194794174e-04 +0.0000000000000000e+00 +9.9999999463911893e-01
-1.0999999999999999e+00 +9.0449373550838015e+00 +0.0000000000000000e+00 -1.0999999976215746e+00 +1.1390078804455573e-04 +0.0000000000000000e+00 +9.9999999351330526e-01
-1.2000000000000000e+00 +9.0449254472608676e+00 +0.0000000000000000e+00 -1.1999999969121466e+00 +1.2425567790696427e-04 +0.0000000000000000e+00 +9.9999999228026326e-01
-1.3000000000000000e+00 +9.0449125039467759e+00 +0.0000000000000000e+00 -1.2999999960740529e+00 +1.3461061110250379e-04 +0.0000000000000000e+00 +9.9999999093999170e-01
-1.4000000000000001e+00 +9.0448985251372154e+00 +0.0000000000000000e+00 -1.3999999950965705e+00 +1.4496558722188564e-04 +0.0000000000000000e+00 +9.9999998949248925e-01
-1.5000000000000002e+00 +9.0448835108279138e+00 +0.0000000000000000e+00 -1.4999999939689763e+00 +1.5532060587919539e-04 +0.0000000000000000e+00 +9.9999998793775469e-01
-1.6000000000000003e+00 +9.0448674610146345e+00 +0.0000000000000000e+00 -1.5999999926805470e+00 +1.6567566671189219e-04 +0.0000000000000000e+00 +9.9999998627578668e-01
-1.7000000000000004e+00 +9.0448503756931764e+00 +0.0000000000000000e+00 -1.6999999912205592e+00 +1.7603076938080793e-04 +0.0000000000000000e+00 +9.9999998450658401e-01
-1.8000000000000005e+00 +9.0448322548593740e+00 +0.0000000000000000e+00 -1.7999999895782892e+00 +1.8638591357014625e-04 +0.0000000000000000e+00 +9.9999998263014545e-01
-1.9000000000000006e+00 +9.0448130985090884e+00 +0.0000000000000000e+00 -1.8999999877430136e+00 +1.9674109898748141e-04 +0.0000000000000000e+00 +9.9999998064646978e-01
-2.0000000000000004e+00 +9.0447929066382109e+00 +0.0000000000000000e+00 -1.9999999857040085e+00 +2.0709632536375711e-04 +0.0000000000000000e+00 +9.9999997855555578e-01
-2.1000000000000005e+00 +9.0447716792426576e+00 +0.0000000000000000e+00 -2.0999999834505498e+00 +2.1745159245240058e-04 +0.0000000000000000e+00 +9.9999997635740223e-01
-2.2000000000000006e+00 +9.0447494163183695e+00 +0.0000000000000000e+00 -2.1999999809719140e+00 +2.2780690001959113e-04 +0.0000000000000000e+00 +9.9999997405200791e-01
-2.3000000000000007e+00 +9.0447261178613108e+00 +0.0000000000000000e+00 -2.2999999782573766e+00 +2.3816224783452795e-04 +0.0000000000000000e+00 +9.9999997163937160e-01
-2.4000000000000008e+00 +9.0447017838674686e+00 +0.0000000000000000e+00 -2.3999999752962133e+00 +2.4851763566854262e-04 +0.0000000000000000e+00 +9.9999996911949207e-01
-2.5000000000000009e+00 +9.0446764143328515e+00 +0.0000000000000000e+00 -2.4999999720777000e+00 +2.5887306329509596e-04 +0.0000000000000000e+00 +9.9999996649236811e-01
-2.6000000000000010e+00 +9.0446500092534912e+00 +0.0000000000000000e+00 -2.5999999685911122e+00 +2.6922853048977450e-04 +0.0000000000000000e+00 +9.9999996375799860e-01
-2.7000000000000011e+00 +9.0446225686254422e+00 +0.0000000000000000e+00 -2.6999999648257251e+00 +2.7958403703028681e-04 +0.0000000000000000e+00 +9.9999996091638244e-01
-2.8000000000000012e+00 +9.0445940924447807e+00 +0.0000000000000000e+00 -2.7999999607708137e+00 +2.8993958269645941e-04 +0.0000000000000000e+00 +9.9999995796751839e-01
-2.9000000000000012e+00 +9.0445645807076058e+00 +0.0000000000000000e+00 -2.8999999564156536e+00 +3.0029516727023261e-04 +0.0000000000000000e+00 +9.9999995491140536e-01
