# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +9.0449999999999999e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
1.0000000000000001e-01 +9.0449994845591632e+00 +0.0000000000000000e+00 +9.9999999998228797e-02 -1.0308808769000344e-05 +0.0000000000000000e+00 +9.9999999994686428e-01
2.0000000000000001e-01 +9.0449979382398507e+00 +0.0000000000000000e+00 +1.9999999998583051e-01 -2.0617569416159748e-05 +0.0000000000000000e+00 +9.9999999978745802e-01
3.0000000000000004e-01 +9.0449953610469045e+00 +0.0000000000000000e+00 +2.9999999995217813e-01 -3.0926281350846031e-05 +0.0000000000000000e+00 +9.9999999952178265e-01
4.0000000000000002e-01 +9.0449917529852240e+00 +0.0000000000000000e+00 +3.9999999988664481e-01 -4.1234944011937324e-05 +0.0000000000000000e+00 +9.9999999914983984e-01
5.0000000000000000e-01 +9.0449871140597633e+00 +0.0000000000000000e+00 +4.9999999977860388e-01 -5.1543556867822475e-05 +0.0000000000000000e+00 +9.9999999867163103e-01
5.9999999999999998e-01 +9.0449814442755283e+00 +0.0000000000000000e+00 +5.9999999961742889e-01 -6.1852119416401399e-05 +0.0000000000000000e+00 +9.9999999808715778e-01
6.9999999999999996e-01 +9.0449747436375727e+00 +0.0000000000000000e+00 +6.9999999939249336e-01 -7.2160631185085318e-05 +0.0000000000000000e+00 +9.9999999739642176e-01
7.9999999999999993e-01 +9.0449670121509982e+00 +0.0000000000000000e+00 +7.9999999909317121e-01 -8.2469091730796962e-05 +0.0000000000000000e+00 +9.9999999659942451e-01
8.9999999999999991e-01 +9.0449582498209473e+00 +0.0000000000000000e+00 +8.9999999870883629e-01 -9.2777500639970638e-05 +0.0000000000000000e+00 +9.9999999569616771e-01
9.9999999999999989e-01 +9.0449484566526035e+00 +0.0000000000000000e+00 +9.9999999822886276e-01 -1.0308585752855224e-04 +0.0000000000000000e+00 +9.9999999468665302e-01
1.0999999999999999e+00 +9.0449376326511874e+00 +0.0000000000000000e+00 +1.0999999976426249e+00 -1.1339416204199918e-04 +0.0000000000000000e+00 +9.9999999357088198e-01
1.2000000000000000e+00 +9.0449257778219518e+00 +0.0000000000000000e+00 +1.1999999969394972e+00 -1.2370241385528021e-04 +0.0000000000000000e+00 +9.9999999234885639e-01
1.3000000000000000e+00 +9.0449128921701831e+00 +0.0000000000000000e+00 +1.2999999961088544e+00 -1.3401061267287516e-04 +0.0000000000000000e+00 +9.9999999102057779e-01
1.4000000000000001e+00 +9.0448989757011926e+00 +0.0000000000000000e+00 +1.3999999951400710e+00 -1.4431875822877463e-04 +0.0000000000000000e+00 +9.9999998958604797e-01
1.5000000000000002e+00 +9.0448840284203200e+00 +0.0000000000000000e+00 +1.4999999940225222e+00 -1.5462685028647962e-04 +0.0000000000000000e+00 +9.9999998804526857e-01
1.6000000000000003e+00 +9.0448680503329246e+00 +0.0000000000000000e+00 +1.5999999927455830e+00 -1.6493488863900094e-04 +0.0000000000000000e+00 +9.9999998639824117e-01
1.7000000000000004e+00 +9.0448510414443870e+00 +0.0000000000000000e+00 +1.6999999912986288e+00 -1.7524287310885869e-04 +0.0000000000000000e+00 +9.9999998464496764e-01
1.8000000000000005e+00 +9.0448330017601037e+00 +0.0000000000000000e+00 +1.7999999896710350e+00 -1.8555080354808157e-04 +0.0000000000000000e+00 +9.9999998278544955e-01
1.9000000000000006e+00 +9.0448139312854821e+00 +0.0000000000000000e+00 +1.8999999878521772e+00 -1.9585867983820614e-04 +0.0000000000000000e+00 +9.9999998081968866e-01
2.0000000000000004e+00 +9.0447938300259434e+00 +0.0000000000000000e+00 +1.9999999858314312e+00 -2.0616650189027598e-04 +0.0000000000000000e+00 +9.9999997874768665e-01
2.1000000000000005e+00 +9.0447726979869145e+00 +0.0000000000000000e+00 +2.0999999835981731e+00 -2.1647426964357765e-04 +0.0000000000000000e+00 +9.9999997656944517e-01
2.2000000000000006e+00 +9.0447505351738275e+00 +0.0000000000000000e+00 +2.1999999811417790e+00 -2.2678198305174543e-04 +0.0000000000000000e+00 +9.9999997428496590e-01
2.3000000000000007e+00 +9.0447273415921181e+00 +0.0000000000000000e+00 +2.2999999784516252e+00 -2.3708964206886642e-04 +0.0000000000000000e+00 +9.9999997189425061e-01
2.4000000000000008e+00 +9.0447031172472290e+00 +0.0000000000000000e+00 +2.3999999755170882e+00 -2.4739724664821704e-04 +0.0000000000000000e+00 +9.9999996939730085e-01
2.5000000000000009e+00 +9.0446778621446047e+00 +0.0000000000000000e+00 +2.4999999723275446e+00 -2.5770479674226264e-04 +0.0000000000000000e+00 +9.9999996679411851e-01
2.6000000000000010e+00 +9.0446515762896986e+00 +0.0000000000000000e+00 +2.5999999688723712e+00 -2.6801229230265716e-04 +0.0000000000000000e+00 +9.9999996408470515e-01
2.7000000000000011e+00 +9.0446242596879642e+00 +0.0000000000000000e+00 +2.6999999651409450e+00 -2.7831973328024270e-04 +0.0000000000000000e+00 +9.9999996126906254e-01
2.8000000000000012e+00 +9.0445959123448638e+00 +0.0000000000000000e+00 +2.7999999611226429e+00 -2.8862711962504919e-04 +0.0000000000000000e+00 +9.9999995834719235e-01
2.9000000000000012e+00 +9.0445665342658632e+00 +0.0000000000000000e+00 +2.8999999568068424e+00 -2.9893445128629408e-04 +0.0000000000000000e+00 +9.9999995531909625e-01
3.0000000000000013e+00 +9.0445361254564318e+00 +0.0000000000000000e+00 +2.9999999521829213e+00 -3.0924172821238186e-04 +0.0000000000000000e+00 +9.9999995218477600e-01
3.1000000000000014e+00 +9.0445046859220461e+00 +0.0000000000000000e+00 +3.0999999472402568e+00 -3.1954895035090378e-04 +0.0000000000000000e+00 +9.9999994894423327e-01
3.2000000000000015e+00 +9.0444722156681898e+00 +0.0000000000000000e+00 +3.1999999419682270e+00 -3.2985611764863748e-04 +0.0000000000000000e+00 +9.9999994559746974e-01
