# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +9.1013000000000002e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-1.0000000000000001e-01 +9.1012994848612241e+00 +0.0000000000000000e+00 -9.9999999998230865e-02 +1.0302776313687517e-05 +0.0000000000000000e+00 +9.9999999994692645e-01
-2.0000000000000001e-01 +9.1012979394445814e+00 +0.0000000000000000e+00 -1.9999999998584703e-01 +2.0605557342528950e-05 +0.0000000000000000e+00 +9.9999999978770560e-01
-3.0000000000000004e-01 +9.1012953637495979e+00 +0.0000000000000000e+00 -2.9999999995223375e-01 +3.0908343129505701e-05 +0.0000000000000000e+00 +9.9999999952233720e-01
-4.0000000000000002e-01 +9.1012917577757957e+00 +0.0000000000000000e+00 -3.9999999988677626e-01 +4.1211133721241846e-05 +0.0000000000000000e+00 +9.9999999915082127e-01
-5.0000000000000000e-01 +9.1012871215226916e+00 +0.0000000000000000e+00 -4.9999999977885978e-01 +5.1513929168003003e-05 +0.0000000000000000e+00 +9.9999999867315759e-01
-5.9999999999999998e-01 +9.1012814549897989e+00 +0.0000000000000000e+00 -5.9999999961786954e-01 +6.1816729523695406e-05 +0.0000000000000000e+00 +9.9999999808934603e-01
-6.9999999999999996e-01 +9.1012747581766220e+00 +0.0000000000000000e+00 -6.9999999939319069e-01 +7.2119534845865220e-05 +0.0000000000000000e+00 +9.9999999739938639e-01
-7.9999999999999993e-01 +9.1012670310826618e+00 +0.0000000000000000e+00 -7.9999999909420849e-01 +8.2422345195698094e-05 +0.0000000000000000e+00 +9.9999999660327854e-01
-8.9999999999999991e-01 +9.1012582737074137e+00 +0.0000000000000000e+00 -8.9999999871030811e-01 +9.2725160638018896e-05 +0.0000000000000000e+00 +9.9999999570102227e-01
-9.9999999999999989e-01 +9.1012484860503626e+00 +0.0000000000000000e+00 -9.9999999823087471e-01 +1.0302798124129178e-04 +0.0000000000000000e+00 +9.9999999469261747e-01
-1.0999999999999999e+00 +9.1012376681109899e+00 +0.0000000000000000e+00 -1.0999999976452934e+00 +1.1333080707762035e-04 +0.0000000000000000e+00 +9.9999999357806402e-01
-1.2000000000000000e+00 +9.1012258198887697e+00 +0.0000000000000000e+00 -1.1999999969429493e+00 +1.2363363822274817e-04 +0.0000000000000000e+00 +9.9999999235736170e-01
-1.3000000000000000e+00 +9.1012129413831655e+00 +0.0000000000000000e+00 -1.2999999961132276e+00 +1.3393647475605942e-04 +0.0000000000000000e+00 +9.9999999103051029e-01
-1.4000000000000001e+00 +9.1011990325936356e+00 +0.0000000000000000e+00 -1.3999999951455131e+00 +1.4423931676057981e-04 +0.0000000000000000e+00 +9.9999998959750969e-01
-1.5000000000000002e+00 +9.1011840935196275e+00 +0.0000000000000000e+00 -1.4999999940291910e+00 +1.5454216432297783e-04 +0.0000000000000000e+00 +9.9999998805835966e-01
-1.6000000000000003e+00 +9.1011681241605817e+00 +0.0000000000000000e+00 -1.5999999927536466e+00 +1.6484501753356596e-04 +0.0000000000000000e+00 +9.9999998641305998e-01
-1.7000000000000004e+00 +9.1011511245159298e+00 +0.0000000000000000e+00 -1.6999999913082646e+00 +1.7514787648630238e-04 +0.0000000000000000e+00 +9.9999998466161055e-01
-1.8000000000000005e+00 +9.1011330945850908e+00 +0.0000000000000000e+00 -1.7999999896824304e+00 +1.8545074127879286e-04 +0.0000000000000000e+00 +9.9999998280401114e-01
-1.9000000000000006e+00 +9.1011140343674768e+00 +0.0000000000000000e+00 -1.8999999878655285e+00 +1.9575361201229269e-04 +0.0000000000000000e+00 +9.9999998084026154e-01
-2.0000000000000004e+00 +9.1010939438624874e+00 +0.0000000000000000e+00 -1.9999999858469442e+00 +2.0605648879170910e-04 +0.0000000000000000e+00 +9.9999997877036151e-01
-2.1000000000000005e+00 +9.1010728230695133e+00 +0.0000000000000000e+00 -2.0999999836160623e+00 +2.1635937172473913e-04 +0.0000000000000000e+00 +9.9999997659431084e-01
-2.2000000000000006e+00 +9.1010506719879345e+00 +0.0000000000000000e+00 -2.1999999811622679e+00 +2.2666226091236165e-04 +0.0000000000000000e+00 +9.9999997431210941e-01
-2.3000000000000007e+00 +9.1010274906171205e+00 +0.0000000000000000e+00 -2.2999999784749456e+00 +2.3696515643932819e-04 +0.0000000000000000e+00 +9.9999997192375689e-01
-2.4000000000000008e+00 +9.1010032789564335e+00 +0.0000000000000000e+00 -2.3999999755434809e+00 +2.4726805837329858e-04 +0.0000000000000000e+00 +9.9999996942925318e-01
-2.5000000000000009e+00 +9.1009780370052304e+00 +0.0000000000000000e+00 -2.4999999723572581e+00 +2.5757096676484129e-04 +0.0000000000000000e+00 +9.9999996682859793e-01
-2.6000000000000010e+00 +9.1009517647628648e+00 +0.0000000000000000e+00 -2.5999999689056623e+00 +2.6787388164743357e-04 +0.0000000000000000e+00 +9.9999996412179104e-01
