# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
-0.0000000000000000e+00 -1.0334349447477522e+00 +2.2718615940921443e+00 +2.5162962650801251e+01 +5.2031476415307975e+02 -9.3120461868947532e+04 -3.1504780380591773e+06 +4.4340495964463460e+08 
-1.0005104645227200e-01 -1.0334363780428231e+00 +2.2717894873546949e+00 +2.5037912519754759e+01 +5.1853883599675919e+02 -9.1042854816964973e+04 -3.1372876784807541e+06 +4.3575604287715805e+08 
-2.0010209290454301e-01 -1.0334377542901352e+00 +2.2717126107494199e+00 +2.4908639398935673e+01 +5.1648274796964699e+02 -8.8919135696407335e+04 -3.1211062506000949e+06 +4.2798294013214308e+08 
-3.0015313935681498e-01 -1.0334390679394918e+00 +2.2716332891828110e+00 +2.4775096826082816e+01 +5.1412354146875361e+02 -8.6746614252367537e+04 -3.1019397976858635e+06 +4.2006448171128273e+08 
-4.0020418580908601e-01 -1.0334403134408536e+00 +2.2715538476086383e+00 +2.4637238369025301e+01 +5.1143825673952347e+02 -8.4522600895602969e+04 -3.0797943572353646e+06 +4.1197950120758098e+08 
-5.0025523226135804e-01 -1.0334414852442242e+00 +2.2714766110378397e+00 +2.4495017609247764e+01 +5.0840393260674989e+02 -8.2244406345096897e+04 -3.0546759592720130e+06 +4.0370683366669893e+08 
-6.0030627871362996e-01 -1.0334425777998049e+00 +2.2714039045209913e+00 +2.4348388160220406e+01 +5.0499760698924945e+02 -7.9909341953359690e+04 -3.0265906291417959e+06 +3.9522531706998879e+08 
-7.0035732516590099e-01 -1.0334435855578399e+00 +2.2713380531449987e+00 +2.4197303640106835e+01 +5.0119631698376628e+02 -7.7514719135571795e+04 -2.9955443878267864e+06 +3.8651378947098529e+08 
-8.0040837161817302e-01 -1.0334445029687822e+00 +2.2712813820298874e+00 +2.4041717690714947e+01 +4.9697709896866456e+02 -7.5057849702683408e+04 -2.9615432523938529e+06 +3.7755109049467206e+08 
-9.0045941807044405e-01 -1.0334453244831279e+00 +2.2712362163153692e+00 +2.3881583954409543e+01 +4.9231698901025442e+02 -7.2536045379817791e+04 -2.9245932381960303e+06 +3.6831605892753285e+08 
-1.0005104645227201e+00 -1.0334460445515337e+00 +2.2712048811565810e+00 +2.3716856084712379e+01 +4.8719302298855860e+02 -6.9946617977204995e+04 -2.8847003594477875e+06 +3.5878753343696868e+08 
-1.1005615109749900e+00 -1.0334466576247958e+00 +2.2711897017242300e+00 +2.3547487739091579e+01 +4.8158223657939948e+02 -6.7286879205345511e+04 -2.8418706288941074e+06 +3.4894435155805236e+08 
-1.2006125574272599e+00 -1.0334471581538127e+00 +2.2711930031892904e+00 +2.3373432570576121e+01 +4.7546166571652356e+02 -6.4554140489264231e+04 -2.7961100603943402e+06 +3.3876534873075986e+08 
-1.3006636038795301e+00 -1.0334475405896564e+00 +2.2712171107175334e+00 +2.3194644235965161e+01 +4.6880834676240261e+02 -6.1745713085003554e+04 -2.7474246697203456e+06 +3.2822935873797458e+08 
-1.4007146503318000e+00 -1.0334477993834521e+00 +2.2712643494664904e+00 +2.3011076372514246e+01 +4.6159931658325672e+02 -5.8858907590573152e+04 -2.6958204748294801e+06 +3.1731521124768811e+08 
-1.5007656967840699e+00 -1.0334479289865333e+00 +2.2713370445749845e+00 +2.2822682618388814e+01 +4.5381161280596609e+02 -5.5891034314682212e+04 -2.6413034969839398e+06 +3.0600173351578748e+08 
-1.6008167432363500e+00 -1.0334479263763052e+00 +2.2714369028413244e+00 +2.2629482870194852e+01 +4.4542760060084936e+02 -5.2840806255571159e+04 -2.5838755242367149e+06 +2.9427592615018600e+08 
-1.7008677896886200e+00 -1.0334477985506700e+00 +2.2715632195325410e+00 +2.2431787981142456e+01 +4.3645165308158477e+02 -4.9712940505321887e+04 -2.5235317021890180e+06 +2.8215877688695765e+08 
-1.8009188361408901e+00 -1.0334475549912174e+00 +2.2717147016428267e+00 +2.2229987649359252e+01 +4.2689381139500830e+02 -4.6513748532746744e+04 -2.4602679440532071e+06 +2.6968007922277182e+08 
-1.9009698825931600e+00 -1.0334472051796355e+00 +2.2718900561502076e+00 +2.2024471587634800e+01 +4.1676411725952261e+02 -4.3249542052927434e+04 -2.3940801666109851e+06 +2.5686962759567508e+08 
-2.0010209290454299e+00 -1.0334467585977392e+00 +2.2720879900031572e+00 +2.1815629531502889e+01 +4.0607261332454254e+02 -3.9926633217169670e+04 -2.3249642923271549e+06 +2.4375721839599422e+08 
-2.1010719754977001e+00 -1.0334462247274552e+00 +2.2723072101266863e+00 +2.1603851234879439e+01 +3.9482934295462150e+02 -3.6551334524159211e+04 -2.2529162481260365e+06 +2.3037264952853277e+08 
-2.2011230219499698e+00 -1.0334456130507883e+00 +2.2725464234044210e+00 +2.1389526472815248e+01 +3.8304435075454131e+02 -3.3129958908085136e+04 -2.1779319685383677e+06 +2.1674572093715838e+08 
-2.3011740684022501e+00 -1.0334449330498372e+00 +2.2728043366916708e+00 +2.1173045042462306e+01 +3.7072768216476283e+02 -2.9668819763714455e+04 -2.1000073934107334e+06 +2.0290623474727222e+08 
-2.4012251148545198e+00 -1.0334441942068655e+00 +2.2730796568015164e+00 +2.0954796774512744e+01 +3.5788938381658232e+02 -2.6174231192857016e+04 -2.0191384699666740e+06 +1.8888399652382398e+08 
-2.5012761613067900e+00 -1.0334434060041422e+00 +2.2733710904987787e+00 +2.0735171515249299e+01 +3.4453950372771561e+02 -2.2652507671450010e+04 -1.9353211541005950e+06 +1.7470881371201378e+08 
-2.6013272077590601e+00 -1.0334425779241074e+00 +2.2736773445027167e+00 +2.0514559150261007e+01 +3.3068809117793774e+02 -1.9109964518788547e+04 -1.8485514096236557e+06 +1.6041049792955121e+08 
-2.7013782542113298e+00 -1.0334417194492505e+00 +2.2739971254819009e+00 +2.0293349589542412e+01 +3.1634519683306979e+02 -1.5552917635727359e+04 -1.7588252090687167e+06 +1.4601886377922180e+08 
-2.8014293006636000e+00 -1.0334408400621526e+00 +2.2743291400453578e+00 +2.0071932776123177e+01 +3.0152087299708262e+02 -1.1987683688643196e+04 -1.6661385352368313e+06 +1.3156372979036665e+08 
-2.9014803471158799e+00 -1.0334399492455146e+00 +2.2746720947434000e+00 +1.9850698690425098e+01 +2.8622517356604783e+02 -8.4205802005450114e+03 -1.5704873809834465e+06 +1.1707491887512738e+08 
-3.0015313935681500e+00 -1.0334390564820775e+00 +2.2750246960641487e+00 +1.9630037344089182e+01 +2.7046815408972310e+02 -4.8579254637221056e+03 -1.4718677495891328e+06 +1.0258225800055808e+08 
-3.1015824400204202e+00 -1.0334381712546992e+00 +2.2753856504262542e+00 +1.9410338789851483e+01 +2.5425987198898460e+02 -1.3060387339121255e+03 -1.3702756561454416e+06 +8.8115579137734592e+07 
-3.2016334864726899e+00 -1.0334373030463146e+00 +2.2757536641756868e+00 +1.9191993118772132e+01 +2.3761038660283427e+02 +2.2287597961243614e+03 -1.2657071278354360e+06 +7.3704719209711552e+07 
-3.3016845329249600e+00 -1.0334364613399436e+00 +2.2761274435832903e+00 +1.8975390463423476e+01 +2.2052975924842798e+02 +5.7401489221441161e+03 -1.1581582043574736e+06 +5.9379520491533205e+07 
-3.4017355793772301e+00 -1.0334356556186490e+00 +2.2765056948427391e+00 +1.8760920995899713e+01 +2.0302805327475886e+02 +9.2218064519093296e+03 -1.0476249383149812e+06 +4.5169830540320195e+07 
-3.5017866258295101e+00 -1.0334348953655745e+00 +2.2768871240437809e+00 +1.8548974933080871e+01 +1.8511533562818306e+02 +1.2667409182009033e+04 -9.3410340623316250e+05 +3.1105502048389882e+07 
-3.6018376722817802e+00 -1.0334341884306091e+00 +2.2772706815029173e+00 +1.8339866500122596e+01 +1.6680710505141300e+02 +1.6072389004810841e+04 -8.1764759909390996e+05 +1.7206526446589500e+07 
-3.7018887187340499e+00 -1.0334335364593310e+00 +2.2776562803733511e+00 +1.8133609765676972e+01 +1.4813632637935771e+02 +1.9438665729082732e+04 -6.9850823282258003e+05 +3.4575562832519799e+06 
-3.8019397651863200e+00 -1.0334329396233639e+00 +2.2780440693251816e+00 +1.7930144606801171e+01 +1.2913946946882098e+02 +2.2769666504590172e+04 -5.7697799112866330e+05 -1.0164706319521291e+07 
-3.9019908116385902e+00 -1.0334323980942592e+00 +2.2784341969521589e+00 +1.7729410867328326e+01 +1.0985300538144560e+02 +2.6068819196093300e+04 -4.5334955908555398e+05 -2.3683562573178470e+07 
-4.0020418580908599e+00 -1.0334319120434257e+00 +2.2788268117673951e+00 +1.7531348349673458e+01 +9.0313406477494368e+01 +2.9339552548854168e+04 -3.2791562335450127e+05 -3.7122317811186284e+07 
-4.1020929045431300e+00 -1.0334314816421841e+00 +2.2792220622082264e+00 +1.7335896818996204e+01 +7.0557146187174013e+01 +3.2585296111934404e+04 -2.0096887044222889e+05 -5.0504281104487926e+07 
-4.2021439509954099e+00 -1.0334311070617375e+00 +2.2796200966191522e+00 +1.7142995995679467e+01 +5.0620699446437392e+01 +3.5809480392065889e+04 -7.2801988855425763e+04 -6.3852765997110084e+07 
-4.3021949974476801e+00 -1.0334307884731357e+00 +2.2800210632676126e+00 +1.6952585550586996e+01 +3.0540542177632048e+01 +3.9015536952187991e+04 +5.6292334294310822e+04 -7.7191090973059282e+07 
-4.4022460438999502e+00 -1.0334305260472676e+00 +2.2804251103288760e+00 +1.6764605100582642e+01 +1.0353151685314931e+01 +4.2206898504454657e+04 +1.8602141130584557e+05 -9.0542579892308488e+07 
-4.5022970903522204e+00 -1.0334303199548764e+00 +2.2808323858850530e+00 +1.6578994211800314e+01 -9.9049934197993750e+00 +4.5386998852267650e+04 +3.1609255486096558e+05 -1.0393056170168541e+08 
-4.6023481368044896e+00 -1.0334301703665232e+00 +2.2812430379277631e+00 +1.6395692386369646e+01 -3.0197413319975347e+01 +4.8559273160999139e+04 +4.4621307879132644e+05 -1.1737837174790697e+08 
-4.7023991832567598e+00 -1.0334300774525680e+00 +2.2816572143531260e+00 +1.6214639065316042e+01 -5.0487626940188107e+01 +5.1727157896230237e+04 +5.7609029833708319e+05 -1.3090935143835641e+08 
-4.8024502297090397e+00 -1.0334300413832265e+00 +2.2820750629580271e+00 +1.6035773628506782e+01 -7.0739151878491612e+01 +5.4894090841307472e+04 +7.0543152999243385e+05 -1.4454684834371904e+08 
-4.9025012761613098e+00 -1.0334300623284314e+00 +2.2824967314365612e+00 +1.5859035376296724e+01 -9.0915504380995003e+01 +5.8063511457222136e+04 +8.3394409180835169e+05 -1.5831421791478842e+08 
-5.0025523226135800e+00 -1.0334301404579402e+00 +2.2829223673835899e+00 +1.5684363543399204e+01 -1.1098019950463382e+02 +6.1238860619335406e+04 +9.6133530472437933e+05 -1.7223482220501497e+08 
-5.1026033690658501e+00 -1.0334302759412461e+00 +2.2833521182848542e+00 +1.5511697282344393e+01 -1.3089675088946279e+02 +6.4423580943094821e+04 +1.0873124915743570e+06 -1.8633203142558914e+08 
-5.2026544155181202e+00 -1.0334304689476057e+00 +2.2837861315230228e+00 +1.5340975667118796e+01 -1.5062867100244497e+02 +6.7621116723004088e+04 +1.2115829789324438e+06 -2.0062922365093622e+08 
-5.3027054619703904e+00 -1.0334307196460586e+00 +2.2842245543656317e+00 +1.5172137691010150e+01 -1.7013947085519311e+02 +7.0834913981079750e+04 +1.3338540958367554e+06 -2.1514978504157522e+08 
