# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
-0.0000000000000000e+00 +9.1076201166355002e+00 +0.0000000000000000e+00 -0.0000000000000000e+00 +1.1126157754166635e-02 -1.0320103964334970e+00 -5.8952144712102625e-02
-1.0005104645227200e-01 +9.1076196006322601e+00 +0.0000000000000000e+00 -1.0005104645049701e-01 +1.1126204883512498e-02 -1.0320061968809118e+00 -5.8951493546790620e-02
-2.0010209290454301e-01 +9.1076180526189905e+00 +0.0000000000000000e+00 -2.0010209289035000e-01 +1.1126255303496599e-02 -1.0320020744026328e+00 -5.8950834351117247e-02
-3.0015313935681498e-01 +9.1076154725992300e+00 +0.0000000000000000e+00 -3.0015313930891202e-01 +1.1126307820721123e-02 -1.0319980351766516e+00 -5.8950167943095724e-02
-4.0020418580908601e-01 +9.1076118605712200e+00 +0.0000000000000000e+00 -4.0020418569554000e-01 +1.1126361241787836e-02 -1.0319940853802596e+00 -5.8949495140741111e-02
-5.0025523226135804e-01 +9.1076072165331805e+00 +0.0000000000000000e+00 -5.0025523203958799e-01 +1.1126414373291420e-02 -1.0319902311900264e+00 -5.8948816762070297e-02
-6.0030627871362996e-01 +9.1076015404886608e+00 +0.0000000000000000e+00 -6.0030627833041095e-01 +1.1126466021812761e-02 -1.0319864787817796e+00 -5.8948133625101831e-02
-7.0035732516590099e-01 +9.1075948324376501e+00 +0.0000000000000000e+00 -7.0035732455736299e-01 +1.1126514993912685e-02 -1.0319828343306250e+00 -5.8947446547857676e-02
-8.0040837161817302e-01 +9.1075870923766207e+00 +0.0000000000000000e+00 -8.0040837070980198e-01 +1.1126560096125343e-02 -1.0319793040109340e+00 -5.8946756348363508e-02
-9.0045941807044405e-01 +9.1075783203073204e+00 +0.0000000000000000e+00 -9.0045941677707997e-01 +1.1126600134951486e-02 -1.0319758939963191e+00 -5.8946063844648462e-02
-1.0005104645227201e+00 +9.1075685162297706e+00 +0.0000000000000000e+00 -1.0005104627485499e+00 +1.1126633916852076e-02 -1.0319726104596427e+00 -5.8945369854746361e-02
-1.1005615109749900e+00 +9.1075576801457405e+00 +0.0000000000000000e+00 -1.1005615086135800e+00 +1.1126660248241662e-02 -1.0319694595730036e+00 -5.8944675196695905e-02
-1.2006125574272599e+00 +9.1075458120516792e+00 +0.0000000000000000e+00 -1.2006125543615100e+00 +1.1126677935482020e-02 -1.0319664475077468e+00 -5.8943980688542008e-02
-1.3006636038795301e+00 +9.1075329119511395e+00 +0.0000000000000000e+00 -1.3006635999817000e+00 +1.1126685784875261e-02 -1.0319635804344267e+00 -5.8943287148334918e-02
-1.4007146503318000e+00 +9.1075189798405596e+00 +0.0000000000000000e+00 -1.4007146454635000e+00 +1.1126682602657680e-02 -1.0319608645228349e+00 -5.8942595394132380e-02
-1.5007656967840699e+00 +9.1075040157234994e+00 +0.0000000000000000e+00 -1.5007656907962801e+00 +1.1126667194993020e-02 -1.0319583059419588e+00 -5.8941906243998497e-02
-1.6008167432363500e+00 +9.1074880195981898e+00 +0.0000000000000000e+00 -1.6008167359693799e+00 +1.1126638758242607e-02 -1.0319559089586059e+00 -5.8941220381876880e-02
-1.7008677896886200e+00 +9.1074709914646199e+00 +0.0000000000000000e+00 -1.7008677809721600e+00 +1.1126598014393066e-02 -1.0319536704058110e+00 -5.8940537967376271e-02
-1.8009188361408901e+00 +9.1074529313228005e+00 +0.0000000000000000e+00 -1.8009188257939699e+00 +1.1126546058203483e-02 -1.0319515852997838e+00 -5.8939859031993683e-02
-1.9009698825931600e+00 +9.1074338391727103e+00 +0.0000000000000000e+00 -1.9009698704241800e+00 +1.1126483984461108e-02 -1.0319496486559825e+00 -5.8939183607221932e-02
-2.0010209290454299e+00 +9.1074137150161505e+00 +0.0000000000000000e+00 -2.0010209148521301e+00 +1.1126412887990600e-02 -1.0319478554891048e+00 -5.8938511724548073e-02
-2.1010719754977001e+00 +9.1073925588495506e+00 +0.0000000000000000e+00 -2.1010719590671898e+00 +1.1126333863663514e-02 -1.0319462008131146e+00 -5.8937843415453127e-02
-2.2011230219499698e+00 +9.1073703706746993e+00 +0.0000000000000000e+00 -2.2011230030586999e+00 +1.1126248006407342e-02 -1.0319446796412080e+00 -5.8937178711409639e-02
-2.3011740684022501e+00 +9.1073471504933696e+00 +0.0000000000000000e+00 -2.3011740468160200e+00 +1.1126156411214953e-02 -1.0319432869858327e+00 -5.8936517643881234e-02
-2.4012251148545198e+00 +9.1073228983037797e+00 +0.0000000000000000e+00 -2.4012250903285000e+00 +1.1126060173153998e-02 -1.0319420178586962e+00 -5.8935860244321701e-02
