# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
-0.0000000000000000e+00 +9.1476323485342608e+00 +0.0000000000000000e+00 -0.0000000000000000e+00 +1.1087271679157526e-02 -1.0321677965391283e+00 -5.9473159347895370e-02
-1.0000000000000001e-01 +9.1476318316365202e+00 +0.0000000000000000e+00 -9.9999999998218805e-02 +1.1087401189421944e-02 -1.0321649518591041e+00 -5.9470530332165997e-02
-2.0000000000000001e-01 +9.1476302809427192e+00 +0.0000000000000000e+00 -1.9999999998574999e-01 +1.1087526266656834e-02 -1.0321620164838268e+00 -5.9467881994940061e-02
-2.9999999999999999e-01 +9.1476276964536503e+00 +0.0000000000000000e+00 -2.9999999995190701e-01 +1.1087646728277632e-02 -1.0321589939285840e+00 -5.9465214423987688e-02
-4.0000000000000002e-01 +9.1476240781675404e+00 +0.0000000000000000e+00 -3.9999999988600199e-01 +1.1087762391688022e-02 -1.0321558877090464e+00 -5.9462527707070750e-02
-5.0000000000000000e-01 +9.1476194260861501e+00 +0.0000000000000000e+00 -4.9999999977734699e-01 +1.1087873074288058e-02 -1.0321527013412166e+00 -5.9459821931948410e-02
-5.9999999999999998e-01 +9.1476137402094899e+00 +0.0000000000000000e+00 -5.9999999961525596e-01 +1.1087978593482505e-02 -1.0321494383414027e+00 -5.9457097186383999e-02
-6.9999999999999996e-01 +9.1476070205357907e+00 +0.0000000000000000e+00 -6.9999999938904001e-01 +1.1088078766689114e-02 -1.0321461022261800e+00 -5.9454353558151381e-02
-8.0000000000000004e-01 +9.1475992670650292e+00 +0.0000000000000000e+00 -7.9999999908801400e-01 +1.1088173411346748e-02 -1.0321426965123419e+00 -5.9451591135040727e-02
-9.0000000000000002e-01 +9.1475904798007797e+00 +0.0000000000000000e+00 -8.9999999870148795e-01 +1.1088262344923565e-02 -1.0321392247168586e+00 -5.9448810004864468e-02
-1.0000000000000000e+00 +9.1475806587394892e+00 +0.0000000000000000e+00 -9.9999999821877705e-01 +1.1088345384925575e-02 -1.0321356903568628e+00 -5.9446010255465122e-02
-1.1000000000000001e+00 +9.1475698038829201e+00 +0.0000000000000000e+00 -1.0999999976291901e+00 +1.1088422348904501e-02 -1.0321320969495822e+00 -5.9443191974719797e-02
-1.2000000000000000e+00 +9.1475579152292994e+00 +0.0000000000000000e+00 -1.1999999969220501e+00 +1.1088493054466318e-02 -1.0321284480123194e+00 -5.9440355250547736e-02
-1.3000000000000000e+00 +9.1475449927804107e+00 +0.0000000000000000e+00 -1.2999999960866500e+00 +1.1088557319279236e-02 -1.0321247470624000e+00 -5.9437500170915543e-02
-1.3999999999999999e+00 +9.1475310365362503e+00 +0.0000000000000000e+00 -1.3999999951123201e+00 +1.1088614961082138e-02 -1.0321209976171444e+00 -5.9434626823844330e-02
-1.5000000000000000e+00 +9.1475160464950402e+00 +0.0000000000000000e+00 -1.4999999939883699e+00 +1.1088665797692764e-02 -1.0321172031938257e+00 -5.9431735297415723e-02
-1.6000000000000001e+00 +9.1475000226585603e+00 +0.0000000000000000e+00 -1.5999999927041100e+00 +1.1088709828566001e-02 -1.0321133672114731e+00 -5.9428825809487426e-02
-1.7000000000000000e+00 +9.1474829650268106e+00 +0.0000000000000000e+00 -1.6999999912488499e+00 +1.1088747779422510e-02 -1.0321094926964416e+00 -5.9425899096808288e-02
-1.8000000000000000e+00 +9.1474648735980093e+00 +0.0000000000000000e+00 -1.7999999896119101e+00 +1.1088780557547372e-02 -1.0321055825769410e+00 -5.9422956025854318e-02
-1.8999999999999999e+00 +9.1474457483739400e+00 +0.0000000000000000e+00 -1.8999999877825899e+00 +1.1088809070227360e-02 -1.0321016397811784e+00 -5.9419997463110490e-02
-2.0000000000000000e+00 +9.1474255893528191e+00 +0.0000000000000000e+00 -1.9999999857502100e+00 +1.1088834224745620e-02 -1.0320976672373587e+00 -5.9417024275068168e-02
