# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +9.1312999999999995e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-1.0000000000000001e-01 +9.1312994832603476e+00 +0.0000000000000000e+00 -9.9999999998219846e-02 +1.0334791244388585e-05 +0.0000000000000000e+00 +9.9999999994659605e-01
-2.0000000000000001e-01 +9.1312979330421218e+00 +0.0000000000000000e+00 -1.9999999998575893e-01 +2.0669571354899209e-05 +0.0000000000000000e+00 +9.9999999978638443e-01
-3.0000000000000004e-01 +9.1312953493464679e+00 +0.0000000000000000e+00 -2.9999999995193649e-01 +3.1004339742445104e-05 +0.0000000000000000e+00 +9.9999999951936547e-01
-4.0000000000000002e-01 +9.1312917321745815e+00 +0.0000000000000000e+00 -3.9999999988607182e-01 +4.1339095923324722e-05 +0.0000000000000000e+00 +9.9999999914553961e-01
-5.0000000000000000e-01 +9.1312870815277023e+00 +0.0000000000000000e+00 -4.9999999977748422e-01 +5.1673839519223682e-05 +0.0000000000000000e+00 +9.9999999866490719e-01
-5.9999999999999998e-01 +9.1312813974071059e+00 +0.0000000000000000e+00 -5.9999999961549300e-01 +6.2008570257217444e-05 +0.0000000000000000e+00 +9.9999999807746864e-01
-6.9999999999999996e-01 +9.1312746798140854e+00 +0.0000000000000000e+00 -6.9999999938941770e-01 +7.2343287969774784e-05 +0.0000000000000000e+00 +9.9999999738322443e-01
-7.9999999999999993e-01 +9.1312669287499482e+00 +0.0000000000000000e+00 -7.9999999908857777e-01 +8.2677992594762048e-05 +0.0000000000000000e+00 +9.9999999658217487e-01
-8.9999999999999991e-01 +9.1312581442160017e+00 +0.0000000000000000e+00 -8.9999999870229264e-01 +9.3012684175448171e-05 +0.0000000000000000e+00 +9.9999999567432041e-01
-9.9999999999999989e-01 +9.1312483262135427e+00 +0.0000000000000000e+00 -9.9999999821988172e-01 +1.0334736286051050e-04 +0.0000000000000000e+00 +9.9999999465966138e-01
-1.0999999999999999e+00 +9.1312374747438501e+00 +0.0000000000000000e+00 -1.0999999976306647e+00 +1.1368202890404136e-04 +0.0000000000000000e+00 +9.9999999353819824e-01
