# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +9.1463000000000001e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1189169225851467e-02 -1.0317237308269311e+00 -5.8650671750254908e-02
1.0000000000000001e-01 +9.1462994844944259e+00 +0.0000000000000000e+00 +9.9999999998228353e-02 +1.1189097063891030e-02 -1.0317271474347598e+00 -5.8649465487241544e-02
2.0000000000000001e-01 +9.1462979379754330e+00 +0.0000000000000000e+00 +1.9999999998582685e-01 +1.1189021595510197e-02 -1.0317305280248277e+00 -5.8648288474183227e-02
3.0000000000000004e-01 +9.1462953604396446e+00 +0.0000000000000000e+00 +2.9999999995216547e-01 +1.1188942749825520e-02 -1.0317338574521748e+00 -5.8647140981364615e-02
4.0000000000000002e-01 +9.1462917518837354e+00 +0.0000000000000000e+00 +3.9999999988661417e-01 +1.1188860455972808e-02 -1.0317371205715300e+00 -5.8646023279077315e-02
5.0000000000000000e-01 +9.1462871123044458e+00 +0.0000000000000000e+00 +4.9999999977854276e-01 +1.1188774643111191e-02 -1.0317403022374083e+00 -5.8644935637618155e-02
5.9999999999999998e-01 +9.1462814416985996e+00 +0.0000000000000000e+00 +5.9999999961732098e-01 +1.1188685353837087e-02 -1.0317433906588303e+00 -5.8643878437307520e-02
6.9999999999999996e-01 +9.1462747400631077e+00 +0.0000000000000000e+00 +6.9999999939231849e-01 +1.1188593084408357e-02 -1.0317463874631960e+00 -5.8642852498549176e-02
7.9999999999999993e-01 +9.1462670073949788e+00 +0.0000000000000000e+00 +7.9999999909290476e-01 +1.1188498444497087e-02 -1.0317492976323439e+00 -5.8641858751769478e-02
8.9999999999999991e-01 +9.1462582436913031e+00 +0.0000000000000000e+00 +8.9999999870844927e-01 +1.1188402043770926e-02 -1.0317521261479221e+00 -5.8640898127396590e-02
9.9999999999999989e-01 +9.1462484489492546e+00 +0.0000000000000000e+00 +9.9999999822832142e-01 +1.1188304491886137e-02 -1.0317548779913917e+00 -5.8639971555859392e-02
1.0999999999999999e+00 +9.1462376231660851e+00 +0.0000000000000000e+00 +1.0999999976418906e+00 +1.1188206398480685e-02 -1.0317575581440344e+00 -5.8639079967586820e-02
1.2000000000000000e+00 +9.1462257663391160e+00 +0.0000000000000000e+00 +1.1999999969385260e+00 +1.1188108373167277e-02 -1.0317601715869571e+00 -5.8638224293006892e-02
1.3000000000000000e+00 +9.1462128784657377e+00 +0.0000000000000000e+00 +1.2999999961075965e+00 +1.1188011025526417e-02 -1.0317627233010973e+00 -5.8637405462545873e-02
1.4000000000000001e+00 +9.1461989595433995e+00 +0.0000000000000000e+00 +1.3999999951384716e+00 +1.1187914965099473e-02 -1.0317652182672281e+00 -5.8636624406627383e-02
1.5000000000000002e+00 +9.1461840095696108e+00 +0.0000000000000000e+00 +1.4999999940205200e+00 +1.1187820801381738e-02 -1.0317676614659645e+00 -5.8635882055671537e-02
1.6000000000000003e+00 +9.1461680285419309e+00 +0.0000000000000000e+00 +1.5999999927431108e+00 +1.1187729143815493e-02 -1.0317700578777687e+00 -5.8635179340094115e-02
1.7000000000000004e+00 +9.1461510164579654e+00 +0.0000000000000000e+00 +1.6999999912956127e+00 +1.1187640601783047e-02 -1.0317724124829555e+00 -5.8634517190305595e-02
1.8000000000000005e+00 +9.1461329733153640e+00 +0.0000000000000000e+00 +1.7999999896673948e+00 +1.1187555784599821e-02 -1.0317747302616971e+00 -5.8633896536710445e-02
1.9000000000000006e+00 +9.1461138991118123e+00 +0.0000000000000000e+00 +1.8999999878478255e+00 +1.1187475301507365e-02 -1.0317770161940292e+00 -5.8633318309706028e-02
2.0000000000000004e+00 +9.1460937938450257e+00 +0.0000000000000000e+00 +1.9999999858262738e+00 +1.1187399761666474e-02 -1.0317792752598560e+00 -5.8632783439681986e-02
2.1000000000000005e+00 +9.1460726575127502e+00 +0.0000000000000000e+00 +2.0999999835921082e+00 +1.1187329774150186e-02 -1.0317815124389564e+00 -5.8632292857019146e-02
2.2000000000000006e+00 +9.1460504901127511e+00 +0.0000000000000000e+00 +2.1999999811346971e+00 +1.1187265947936873e-02 -1.0317837327109884e+00 -5.8631847492088753e-02
2.3000000000000007e+00 +9.1460272916428114e+00 +0.0000000000000000e+00 +2.2999999784434091e+00 +1.1187208891903284e-02 -1.0317859410554959e+00 -5.8631448275251644e-02
2.4000000000000008e+00 +9.1460030621007267e+00 +0.0000000000000000e+00 +2.3999999755076127e+00 +1.1187159214817602e-02 -1.0317881424519115e+00 -5.8631096136857228e-02
2.5000000000000009e+00 +9.1459778014842996e+00 +0.0000000000000000e+00 +2.4999999723166759e+00 +1.1187117525332494e-02 -1.0317903418795655e+00 -5.8630792007242735e-02
2.6000000000000010e+00 +9.1459515097913346e+00 +0.0000000000000000e+00 +2.5999999688599673e+00 +1.1187084242500325e-02 -1.0317925437384832e+00 -5.8630536557012281e-02
2.7000000000000011e+00 +9.1459241870196326e+00 +0.0000000000000000e+00 +2.6999999651268549e+00 +1.1187059027389703e-02 -1.0317947501116074e+00 -5.8630329417885679e-02
2.8000000000000012e+00 +9.1458958331669926e+00 +0.0000000000000000e+00 +2.7999999611067072e+00 +1.1187041351620585e-02 -1.0317969625021135e+00 -5.8630169961877240e-02
2.9000000000000012e+00 +9.1458664482312066e+00 +0.0000000000000000e+00 +2.8999999567888919e+00 +1.1187030686865405e-02 -1.0317991824125352e+00 -5.8630057561020861e-02
3.0000000000000013e+00 +9.1458360322100596e+00 +0.0000000000000000e+00 +2.9999999521627769e+00 +1.1187026504858449e-02 -1.0318014113447236e+00 -5.8629991587372116e-02
3.1000000000000014e+00 +9.1458045851013274e+00 +0.0000000000000000e+00 +3.0999999472177304e+00 +1.1187028277405199e-02 -1.0318036507998081e+00 -5.8629971413010219e-02
3.2000000000000015e+00 +9.1457721069027738e+00 +0.0000000000000000e+00 +3.1999999419431204e+00 +1.1187035476391747e-02 -1.0318059022781516e+00 -5.8629996410040158e-02
3.3000000000000016e+00 +9.1457385976121532e+00 +0.0000000000000000e+00 +3.2999999363283146e+00 +1.1187047573794108e-02 -1.0318081672793111e+00 -5.8630065950594702e-02
3.4000000000000017e+00 +9.1457040572272064e+00 +0.0000000000000000e+00 +3.3999999303626804e+00 +1.1187064041687648e-02 -1.0318104473019987e+00 -5.8630179406836541e-02
3.5000000000000018e+00 +9.1456684857456576e+00 +0.0000000000000000e+00 +3.4999999240355857e+00 +1.1187084352256420e-02 -1.0318127438440363e+00 -5.8630336150960277e-02
3.6000000000000019e+00 +9.1456318831652155e+00 +0.0000000000000000e+00 +3.5999999173363979e+00 +1.1187107977802539e-02 -1.0318150584023182e+00 -5.8630535555194610e-02
3.7000000000000020e+00 +9.1455942494835707e+00 +0.0000000000000000e+00 +3.6999999102544847e+00 +1.1187134390755551e-02 -1.0318173924727672e+00 -5.8630776991804238e-02
3.8000000000000020e+00 +9.1455555846983945e+00 +0.0000000000000000e+00 +3.7999999027792133e+00 +1.1187163063681813e-02 -1.0318197475502955e+00 -5.8631059833092081e-02
3.9000000000000021e+00 +9.1455158888073385e+00 +0.0000000000000000e+00 +3.8999998948999512e+00 +1.1187193469293871e-02 -1.0318221251287623e+00 -5.8631383451401231e-02
4.0000000000000018e+00 +9.1454751618080294e+00 +0.0000000000000000e+00 +3.9999998866060653e+00 +1.1187225080459799e-02 -1.0318245267009332e+00 -5.8631747219117146e-02
4.1000000000000014e+00 +9.1454334036980729e+00 +0.0000000000000000e+00 +4.0999998778869235e+00 +1.1187257370212604e-02 -1.0318269537584395e+00 -5.8632150508669552e-02
4.2000000000000011e+00 +9.1453906144750476e+00 +0.0000000000000000e+00 +4.1999998687318918e+00 +1.1187289811759583e-02 -1.0318294077917352e+00 -5.8632592692534700e-02
4.3000000000000007e+00 +9.1453467941365059e+00 +0.0000000000000000e+00 +4.2999998591303381e+00 +1.1187321878491691e-02 -1.0318318902900592e+00 -5.8633073143237291e-02
4.4000000000000004e+00 +9.1453019426799713e+00 +0.0000000000000000e+00 +4.3999998490716292e+00 +1.1187353043992926e-02 -1.0318344027413908e+00 -5.8633591233352614e-02
4.5000000000000000e+00 +9.1452560601029376e+00 +0.0000000000000000e+00 +4.4999998385451310e+00 +1.1187382782049693e-02 -1.0318369466324111e+00 -5.8634146335508612e-02
4.5999999999999996e+00 +9.1452091464028662e+00 +0.0000000000000000e+00 +4.5999998275402110e+00 +1.1187410671590087e-02 -1.0318395220960652e+00 -5.8634737952862920e-02
4.6999999999999993e+00 +9.1451612015771904e+00 +0.0000000000000000e+00 +4.6999998160462360e+00 +1.1187436711396381e-02 -1.0318421238549231e+00 -5.8635366110563317e-02
4.7999999999999989e+00 +9.1451122256233148e+00 +0.0000000000000000e+00 +4.7999998040525718e+00 +1.1187461005162118e-02 -1.0318447452794395e+00 -5.8636030964379589e-02
4.8999999999999986e+00 +9.1450622185386266e+00 +0.0000000000000000e+00 +4.8999997915485851e+00 +1.1187483656534844e-02 -1.0318473797405614e+00 -5.8636732670241692e-02
4.9999999999999982e+00 +9.1450111803204983e+00 +0.0000000000000000e+00 +4.9999997785236427e+00 +1.1187504769111182e-02 -1.0318500206097896e+00 -5.8637471384246888e-02
5.0999999999999979e+00 +9.1449591109662975e+00 +0.0000000000000000e+00 +5.0999997649671105e+00 +1.1187524446431915e-02 -1.0318526612592311e+00 -5.8638247262666671e-02
5.1999999999999975e+00 +9.1449060104733917e+00 +0.0000000000000000e+00 +5.1999997508683551e+00 +1.1187542791977100e-02 -1.0318552950616606e+00 -5.8639060461953975e-02
5.2999999999999972e+00 +9.1448518788391553e+00 +0.0000000000000000e+00 +5.2999997362167415e+00 +1.1187559909161100e-02 -1.0318579153905714e+00 -5.8639911138750028e-02
5.3999999999999968e+00 +9.1447967160609753e+00 +0.0000000000000000e+00 +5.3999997210016364e+00 +1.1187575901327742e-02 -1.0318605156202378e+00 -5.8640799449891638e-02
5.4999999999999964e+00 +9.1447405221362601e+00 +0.0000000000000000e+00 +5.4999997052124066e+00 +1.1187590871745361e-02 -1.0318630891257676e+00 -5.8641725552417985e-02
5.5999999999999961e+00 +9.1446832970624428e+00 +0.0000000000000000e+00 +5.5999996888384169e+00 +1.1187604923601914e-02 -1.0318656292831627e+00 -5.8642689603577908e-02
5.6999999999999957e+00 +9.1446250408369938e+00 +0.0000000000000000e+00 +5.6999996718690333e+00 +1.1187618160000070e-02 -1.0318681294693717e+00 -5.8643691760836801e-02
5.7999999999999954e+00 +9.1445657534574210e+00 +0.0000000000000000e+00 +5.7999996542936216e+00 +1.1187630683952308e-02 -1.0318705830623505e+00 -5.8644732181883784e-02
5.8999999999999950e+00 +9.1445054349212782e+00 +0.0000000000000000e+00 +5.8999996361015477e+00 +1.1187642598375996e-02 -1.0318729834411167e+00 -5.8645811024638651e-02
5.9999999999999947e+00 +9.1444440852261746e+00 +0.0000000000000000e+00 +5.9999996172821772e+00 +1.1187654006088524e-02 -1.0318753239858061e+00 -5.8646928447259015e-02
6.0999999999999943e+00 +9.1443817043697777e+00 +0.0000000000000000e+00 +6.0999995978248762e+00 +1.1187665009802375e-02 -1.0318775980777322e+00 -5.8648084608147397e-02
6.1999999999999940e+00 +9.1443182923498227e+00 +0.0000000000000000e+00 +6.1999995777190096e+00 +1.1187675712120244e-02 -1.0318797990994408e+00 -5.8649279665958197e-02
6.2999999999999936e+00 +9.1442538491641177e+00 +0.0000000000000000e+00 +6.2999995569539431e+00 +1.1187686215530132e-02 -1.0318819204347660e+00 -5.8650513779604813e-02
6.3999999999999932e+00 +9.1441883748105504e+00 +0.0000000000000000e+00 +6.3999995355190427e+00 +1.1187696622400456e-02 -1.0318839554688888e+00 -5.8651787108266712e-02
6.4999999999999929e+00 +9.1441218692870940e+00 +0.0000000000000000e+00 +6.4999995134036741e+00 +1.1187707034975168e-02 -1.0318858975883940e+00 -5.8653099811396540e-02
6.5999999999999925e+00 +9.1440543325918160e+00 +0.0000000000000000e+00 +6.5999994905972024e+00 +1.1187717552353274e-02 -1.0318877430687954e+00 -5.8654451933847634e-02
6.6999999999999922e+00 +9.1439857647228777e+00 +0.0000000000000000e+00 +6.6999994670889933e+00 +1.1187728261493354e-02 -1.0318894997363455e+00 -5.8655843061018315e-02
6.7999999999999918e+00 +9.1439161656785295e+00 +0.0000000000000000e+00 +6.7999994428684127e+00 +1.1187739246356439e-02 -1.0318911783040985e+00 -5.8657272663107544e-02
6.8999999999999915e+00 +9.1438455354571015e+00 +0.0000000000000000e+00 +6.8999994179248256e+00 +1.1187750590936827e-02 -1.0318927894841154e+00 -5.8658740209927104e-02
6.9999999999999911e+00 +9.1437738740569898e+00 +0.0000000000000000e+00 +6.9999993922475978e+00 +1.1187762379263456e-02 -1.0318943439874269e+00 -5.8660245170883779e-02
7.0999999999999908e+00 +9.1437011814766489e+00 +0.0000000000000000e+00 +7.0999993658260951e+00 +1.1187774695401317e-02 -1.0318958525239956e+00 -5.8661787014961927e-02
7.1999999999999904e+00 +9.1436274577145777e+00 +0.0000000000000000e+00 +7.1999993386496826e+00 +1.1187787623452829e-02 -1.0318973258026818e+00 -5.8663365210705844e-02
7.2999999999999901e+00 +9.1435527027693109e+00 +0.0000000000000000e+00 +7.2999993107077259e+00 +1.1187801247559265e-02 -1.0318987745312014e+00 -5.8664979226202091e-02
7.3999999999999897e+00 +9.1434769166394059e+00 +0.0000000000000000e+00 +7.3999992819895910e+00 +1.1187815651902099e-02 -1.0319002094160943e+00 -5.8666628529062001e-02
7.4999999999999893e+00 +9.1434000993234381e+00 +0.0000000000000000e+00 +7.4999992524846437e+00 +1.1187830920704430e-02 -1.0319016411626825e+00 -5.8668312586403967e-02
7.5999999999999890e+00 +9.1433222508199830e+00 +0.0000000000000000e+00 +7.5999992221822490e+00 +1.1187847138232359e-02 -1.0319030804750364e+00 -5.8670030864835923e-02
7.6999999999999886e+00 +9.1432433711276104e+00 +0.0000000000000000e+00 +7.6999991910717718e+00 +1.1187864388796360e-02 -1.0319045380559355e+00 -5.8671782830437703e-02
7.7999999999999883e+00 +9.1431634602448710e+00 +0.0000000000000000e+00 +7.7999991591425779e+00 +1.1187882756752665e-02 -1.0319060246068315e+00 -5.8673567948743295e-02
7.8999999999999879e+00 +9.1430825181702868e+00 +0.0000000000000000e+00 +7.8999991263840323e+00 +1.1187902326504660e-02 -1.0319075508278130e+00 -5.8675385684723476e-02
7.9999999999999876e+00 +9.1430005449023408e+00 +0.0000000000000000e+00 +7.9999990927855000e+00 +1.1187923182504226e-02 -1.0319091274175658e+00 -5.8677235502767926e-02
8.0999999999999872e+00 +9.1429175404394645e+00 +0.0000000000000000e+00 +8.0999990583363459e+00 +1.1187945409253141e-02 -1.0319107650733361e+00 -5.8679116866667699e-02
8.1999999999999869e+00 +9.1428335047800289e+00 +0.0000000000000000e+00 +8.1999990230259368e+00 +1.1187969091304447e-02 -1.0319124744908950e+00 -5.8681029239597664e-02
8.2999999999999865e+00 +9.1427484379223340e+00 +0.0000000000000000e+00 +8.2999989868436366e+00 +1.1187994313263784e-02 -1.0319142663644987e+00 -5.8682972084098693e-02
8.3999999999999861e+00 +9.1426623398645983e+00 +0.0000000000000000e+00 +8.3999989497788086e+00 +1.1188021159790802e-02 -1.0319161513868529e+00 -5.8684944862060141e-02
8.4999999999999858e+00 +9.1425752106049458e+00 +0.0000000000000000e+00 +8.4999989118208195e+00 +1.1188049715600477e-02 -1.0319181402490749e+00 -5.8686947034702099e-02
8.5999999999999854e+00 +9.1424870501413977e+00 +0.0000000000000000e+00 +8.5999988729590324e+00 +1.1188080058815903e-02 -1.0319202397147902e+00 -5.8688977890031149e-02
8.6999999999999851e+00 +9.1423978584718668e+00 +0.0000000000000000e+00 +8.6999988331828124e+00 +1.1188112240973819e-02 -1.0319224408426519e+00 -5.8691036025513267e-02
