# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +9.0449999999999999e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
1.0000000000000001e-01 +9.0449994827334272e+00 +0.0000000000000000e+00 +9.9999999998216238e-02 -1.0345333189899162e-05 +0.0000000000000000e+00 +9.9999999994648703e-01
2.0000000000000001e-01 +9.0449979309330359e+00 +0.0000000000000000e+00 +1.9999999998572987e-01 -2.0690676153024128e-05 +0.0000000000000000e+00 +9.9999999978594800e-01
3.0000000000000004e-01 +9.0449953445979201e+00 +0.0000000000000000e+00 +2.9999999995183829e-01 -3.1036027420519698e-05 +0.0000000000000000e+00 +9.9999999951838259e-01
4.0000000000000002e-01 +9.0449917237273283e+00 +0.0000000000000000e+00 +3.9999999988583884e-01 -4.1381385373844871e-05 +0.0000000000000000e+00 +9.9999999914379056e-01
5.0000000000000000e-01 +9.0449870683206814e+00 +0.0000000000000000e+00 +4.9999999977702886e-01 -5.1726748244757270e-05 +0.0000000000000000e+00 +9.9999999866217182e-01
5.9999999999999998e-01 +9.0449813783775799e+00 +0.0000000000000000e+00 +5.9999999961470563e-01 -6.2072114130367711e-05 +0.0000000000000000e+00 +9.9999999807352635e-01
6.9999999999999996e-01 +9.0449746538978175e+00 +0.0000000000000000e+00 +6.9999999938816648e-01 -7.2417481158917351e-05 +0.0000000000000000e+00 +9.9999999737785428e-01
7.9999999999999993e-01 +9.0449668948813660e+00 +0.0000000000000000e+00 +7.9999999908670882e-01 -8.2762847655560169e-05 +0.0000000000000000e+00 +9.9999999657515559e-01
8.9999999999999991e-01 +9.0449581013283531e+00 +0.0000000000000000e+00 +8.9999999869962999e-01 -9.3108212157427345e-05 +0.0000000000000000e+00 +9.9999999566543052e-01
9.9999999999999989e-01 +9.0449482732390436e+00 +0.0000000000000000e+00 +9.9999999821622731e-01 -1.0345357341362191e-04 +0.0000000000000000e+00 +9.9999999464867917e-01
1.0999999999999999e+00 +9.0449374106138141e+00 +0.0000000000000000e+00 +1.0999999976257981e+00 -1.1379893038521605e-04 +0.0000000000000000e+00 +9.9999999352490176e-01
1.2000000000000000e+00 +9.0449255134531370e+00 +0.0000000000000000e+00 +1.1999999969176400e+00 -1.2414428224525082e-04 +0.0000000000000000e+00 +9.9999999229409864e-01
1.3000000000000000e+00 +9.0449125817575560e+00 +0.0000000000000000e+00 +1.2999999960810504e+00 -1.3448962837873848e-04 +0.0000000000000000e+00 +9.9999999095627001e-01
