# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -1.0330048708888133e+00 +2.2778393539551187e+00 +2.1042860719429534e+01 +8.0463878553953137e+01 -2.7335802699017248e+04 +8.7247428925538005e+05 +1.7117169444976166e+08 
-1.0000000000000001e-01 -1.0330019111627049e+00 +2.2773936070864051e+00 +2.0853264168738868e+01 +9.8313166078277519e+01 -2.4344036347212499e+04 +7.6030103769246384e+05 +1.5736113083815351e+08 
-2.0000000000000001e-01 -1.0329989726095394e+00 +2.2769539308243374e+00 +2.0661617730040565e+01 +1.1598564744294306e+02 -2.1297653321975245e+04 +6.4921225121112831e+05 +1.4323554714209852e+08 
-3.0000000000000004e-01 -1.0329960595768761e+00 +2.2765185005254240e+00 +2.0468362611165343e+01 +1.3352980532326634e+02 -1.8205502261758062e+04 +5.3891967681921402e+05 +1.2883901772140510e+08 
-4.0000000000000002e-01 -1.0329931764123768e+00 +2.2760854915365716e+00 +2.0273940035576938e+01 +1.5099412249230960e+02 -1.5076432145863299e+04 +4.2913506228706095e+05 +1.1421561873942934e+08 
-5.0000000000000000e-01 -1.0329903274636798e+00 +2.2756530791906857e+00 +2.0078791226019867e+01 +1.6842708194239370e+02 -1.1919291975549775e+04 +3.1957015539359627e+05 +9.9409426631426305e+07 
-5.9999999999999998e-01 -1.0329875170784439e+00 +2.2752194388073028e+00 +1.9883357410723420e+01 +1.8587716690893632e+02 -8.7429309022962552e+03 +2.0993670362447063e+05 +8.4464518756873980e+07 
-6.9999999999999996e-01 -1.0329847496042965e+00 +2.2747827456850849e+00 +1.9688079816710299e+01 +2.0339286104458324e+02 -5.5561980946537442e+03 +9.9946453226980462e+04 +6.9424972753367692e+07 
-7.9999999999999993e-01 -1.0329820293887781e+00 +2.2743411751116192e+00 +1.9493399663718684e+01 +2.2102264819240460e+02 -2.3679426302703305e+03 -1.0688849694143564e+04 +5.4334866057524227e+07 
-8.9999999999999991e-01 -1.0329793607793769e+00 +2.2738929023519092e+00 +1.9299758167770523e+01 +2.3881501269836045e+02 +8.1298643825195393e+02 -1.2225746098232063e+05 +3.9238276222045414e+07 
-9.9999999999999989e-01 -1.0329767481234351e+00 +2.2734361026558245e+00 +1.9107596530859688e+01 +2.5681843921623800e+02 +3.9777402736966296e+03 -2.3504763740652803e+05 +2.4179280033550885e+07 
-1.0999999999999999e+00 -1.0329741957681442e+00 +2.2729689512525413e+00 +1.8917355939740553e+01 +2.7508141287254261e+02 +7.1174702781269034e+03 -3.4934763769252063e+05 +9.2019534082477000e+06 
-1.2000000000000000e+00 -1.0329717080604894e+00 +2.2724896233488669e+00 +1.8729477558857173e+01 +2.9365241932176195e+02 +1.0223328229482326e+04 -4.6544572291240189e+05 -5.6496292559865229e+06 
-1.3000000000000000e+00 -1.0329692893472693e+00 +2.2719962941292975e+00 +1.8544402533996848e+01 +3.1257994476206818e+02 +1.3286466203085853e+04 -5.8363015667712118e+05 -2.0331394670071661e+07 
-1.4000000000000001e+00 -1.0329669439750651e+00 +2.2714871387598112e+00 +1.8362571987920102e+01 +3.3191247581964092e+02 +1.6298036657638817e+04 -7.0418920450776699e+05 -3.4799271062994964e+07 
-1.5000000000000002e+00 -1.0329646762901004e+00 +2.2709603323736443e+00 +1.8184427003433061e+01 +3.5169849998278460e+02 +1.9249192752325460e+04 -8.2741113644595665e+05 -4.9009189662823915e+07 
-1.6000000000000003e+00 -1.0329624890060034e+00 +2.2704143293846761e+00 +1.8010275484669798e+01 +3.7197827579835661e+02 +2.2133620093474139e+04 -9.5352945997261547e+05 -6.2929111703348763e+07 
-1.7000000000000004e+00 -1.0329603783199151e+00 +2.2698487307115385e+00 +1.7839889312432849e+01 +3.9275799933167070e+02 +2.4955250427009534e+04 -1.0825520246243842e+06 -7.6575958371205583e+07 
-1.8000000000000005e+00 -1.0329583388029762e+00 +2.2692634315170674e+00 +1.7672905459365097e+01 +4.1403505234271313e+02 +2.7720608193039050e+04 -1.2144285141378324e+06 -8.9979111817149594e+07 
-1.9000000000000006e+00 -1.0329563650261779e+00 +2.2686583269677922e+00 +1.7508960885546252e+01 +4.3580681635089263e+02 +3.0436217995706862e+04 -1.3491086103272585e+06 -1.0316795472505876e+08 
