# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +9.0449999999999999e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-1.0000000000000001e-01 +9.0449994841804653e+00 +0.0000000000000000e+00 -9.9999999998226188e-02 +1.0316388356836792e-05 +0.0000000000000000e+00 +9.9999999994678601e-01
-2.0000000000000001e-01 +9.0449979367227922e+00 +0.0000000000000000e+00 -1.9999999998580958e-01 +2.0632762802490811e-05 +0.0000000000000000e+00 +9.9999999978714449e-01
-3.0000000000000004e-01 +9.0449953576283573e+00 +0.0000000000000000e+00 -2.9999999995210747e-01 +3.0949123646817358e-05 +0.0000000000000000e+00 +9.9999999952107577e-01
-4.0000000000000002e-01 +9.0449917468985053e+00 +0.0000000000000000e+00 -3.9999999988647716e-01 +4.1265471202745211e-05 +0.0000000000000000e+00 +9.9999999914858029e-01
-5.0000000000000000e-01 +9.0449871045345489e+00 +0.0000000000000000e+00 -4.9999999977827603e-01 +5.1581805786275913e-05 +0.0000000000000000e+00 +9.9999999866965850e-01
-5.9999999999999998e-01 +9.0449814305377689e+00 +0.0000000000000000e+00 -5.9999999961686135e-01 +6.1898127716483069e-05 +0.0000000000000000e+00 +9.9999999808431073e-01
-6.9999999999999996e-01 +9.0449747249094159e+00 +0.0000000000000000e+00 -6.9999999939159063e-01 +7.2214437315511776e-05 +0.0000000000000000e+00 +9.9999999739253731e-01
-7.9999999999999993e-01 +9.0449669876507066e+00 +0.0000000000000000e+00 -7.9999999909182129e-01 +8.2530734908578014e-05 +0.0000000000000000e+00 +9.9999999659433869e-01
-8.9999999999999991e-01 +9.0449582187628241e+00 +0.0000000000000000e+00 -8.9999999870691083e-01 +9.2847020823968147e-05 +0.0000000000000000e+00 +9.9999999568971520e-01
-9.9999999999999989e-01 +9.0449484182469195e+00 +0.0000000000000000e+00 -9.9999999822621688e-01 +1.0316329539303851e-04 +0.0000000000000000e+00 +9.9999999467866707e-01
-1.0999999999999999e+00 +9.0449375861041119e+00 +0.0000000000000000e+00 -1.0999999976390968e+00 +1.1347955895021492e-04 +0.0000000000000000e+00 +9.9999999356119462e-01
-1.2000000000000000e+00 +9.0449257223354849e+00 +0.0000000000000000e+00 -1.1999999969349084e+00 +1.2379581183299241e-04 +0.0000000000000000e+00 +9.9999999233729830e-01
-1.3000000000000000e+00 +9.0449128269420900e+00 +0.0000000000000000e+00 -1.2999999961030091e+00 +1.3411205438193486e-04 +0.0000000000000000e+00 +9.9999999100697823e-01
-1.4000000000000001e+00 +9.0448988999249416e+00 +0.0000000000000000e+00 -1.3999999951327566e+00 +1.4442828694067483e-04 +0.0000000000000000e+00 +9.9999998957023473e-01
-1.5000000000000002e+00 +9.0448839412850219e+00 +0.0000000000000000e+00 -1.4999999940135087e+00 +1.5474450985591330e-04 +0.0000000000000000e+00 +9.9999998802706813e-01
-1.6000000000000003e+00 +9.0448679510232797e+00 +0.0000000000000000e+00 -1.5999999927346229e+00 +1.6506072347544608e-04 +0.0000000000000000e+00 +9.9999998637747856e-01
-1.7000000000000004e+00 +9.0448509291406261e+00 +0.0000000000000000e+00 -1.6999999912854569e+00 +1.7537692812645531e-04 +0.0000000000000000e+00 +9.9999998462146633e-01
-1.8000000000000005e+00 +9.0448328756379439e+00 +0.0000000000000000e+00 -1.7999999896553687e+00 +1.8569312409380347e-04 +0.0000000000000000e+00 +9.9999998275903157e-01
