# multipoles
# s[mm] polynom_b[n=0][T/m^n] polynom_b[n=1][T/m^n] polynom_b[n=2][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=4][T/m^n] polynom_b[n=5][T/m^n] polynom_b[n=6][T/m^n] 
+0.0000000000000000e+00 -1.0333574496615989e+00 +2.2970115504106090e+00 +2.0185394667150440e+01 -5.8258956313707836e+02 -1.0707585523100617e+04 +5.0053088603766281e+06 +1.5251751601281464e+08 
+1.0000000000000001e-01 -1.0333592385291877e+00 +2.2975368657041355e+00 +2.0437081025512427e+01 -5.9608111623410343e+02 -1.5240767193868547e+04 +5.0743035673139160e+06 +1.7258652210311854e+08 
+2.0000000000000001e-01 -1.0333610312325614e+00 +2.2980859184571387e+00 +2.0682912374960033e+01 -6.1003652659137504e+02 -1.9672085661897014e+04 +5.1448378172386289e+06 +1.9215964077938724e+08 
+3.0000000000000004e-01 -1.0333628218676898e+00 +2.2986581714144161e+00 +2.0921676135451861e+01 -6.2444578873438456e+02 -2.3981517894185516e+04 +5.2168492665800089e+06 +2.1114987769108996e+08 
+4.0000000000000002e-01 -1.0333646045306148e+00 +2.2992530873244883e+00 +2.1152159720832056e+01 -6.3929889673267292e+02 -2.8149040525987377e+04 +5.2902755672818515e+06 +2.2947023622038597e+08 
+5.0000000000000000e-01 -1.0333663733173888e+00 +2.2998701289673429e+00 +2.1373150531176726e+01 -6.5458584497842844e+02 -3.2154629701714759e+04 +5.3650543712447435e+06 +2.4703371666045111e+08 
+5.9999999999999998e-01 -1.0333681231207774e+00 +2.3005085467609541e+00 +2.1583679005287959e+01 -6.7029182256429920e+02 -3.5982236054786023e+04 +5.4411114881564174e+06 +2.6377127651243886e+08 
+6.9999999999999996e-01 -1.0333698520422681e+00 +2.3011667170220615e+00 +2.1783752223876458e+01 -6.8638251088128391e+02 -3.9631802656201718e+04 +5.5183233782171505e+06 +2.7968609832887435e+08 
+7.9999999999999993e-01 -1.0333715589910120e+00 +2.3018427914000670e+00 +2.1973622543110242e+01 -7.0281864295522735e+02 -4.3107293838143247e+04 +5.5965536720237862e+06 +2.9479951710161638e+08 
+8.9999999999999991e-01 -1.0333732428761504e+00 +2.3025349215802202e+00 +2.2153542310937585e+01 -7.1956095264727878e+02 -4.6412673673653815e+04 +5.6756660040622763e+06 +3.0913286625635225e+08 
+9.9999999999999989e-01 -1.0333749026068142e+00 +2.3032412592993650e+00 +2.2323763867948394e+01 -7.3657017519870703e+02 -4.9551906016391215e+04 +5.7555240160983736e+06 +3.2270747792416692e+08 
+1.0999999999999999e+00 -1.0333765370921431e+00 +2.3039599563362430e+00 +2.2484539552572791e+01 -7.5380704705945027e+02 -5.2528954637815012e+04 +5.8359913564551426e+06 +3.3554468371874106e+08 
+1.2000000000000000e+00 -1.0333781452412607e+00 +2.3046891645301617e+00 +2.2636121699364221e+01 -7.7123230648950152e+02 -5.5347783217858181e+04 +5.9169316836486049e+06 +3.4766581477052450e+08 
+1.3000000000000000e+00 -1.0333797259632258e+00 +2.3054270357708879e+00 +2.2778762635708677e+01 -7.8880669340097586e+02 -5.8012355321159943e+04 +5.9982086658116383e+06 +3.5909220174182874e+08 
+1.4000000000000001e+00 -1.0333812781671636e+00 +2.3061717220116189e+00 +2.2912714699101059e+01 -8.0649094979537040e+02 -6.0526634750445271e+04 +6.0796859833843615e+06 +3.6984517659276336e+08 
+1.5000000000000002e+00 -1.0333828007620516e+00 +2.3069213752705524e+00 +2.3038230212790321e+01 -8.2424581992137780e+02 -6.2894585111823319e+04 +6.1612273303084429e+06 +3.7994607060809320e+08 
+1.6000000000000003e+00 -1.0333842926569228e+00 +2.3076741476361851e+00 +2.3155561514083935e+01 -8.4203205051144766e+02 -6.5120170393814653e+04 +6.2426964156089080e+06 +3.8941621728151959e+08 
+1.7000000000000004e+00 -1.0333857527607220e+00 +2.3084281912691127e+00 +2.3264960936450024e+01 -8.5981039093912159e+02 -6.7207354644463325e+04 +6.3239569645699225e+06 +3.9827695084699619e+08 
+1.8000000000000005e+00 -1.0333871799823735e+00 +2.3091816584056248e+00 +2.3366680821632254e+01 -8.7754159338957413e+02 -6.9160102243540998e+04 +6.4048727198751206e+06 +4.0654960770609099e+08 
+1.9000000000000006e+00 -1.0333885732307182e+00 +2.3099327013650157e+00 +2.3460973513079317e+01 -8.9518641321040150e+02 -7.0982377801774841e+04 +6.4853074440194713e+06 +4.1425552603112674e+08 
+2.0000000000000004e+00 -1.0333899314145898e+00 +2.3106794725509174e+00 +2.3548091367082417e+01 -9.1270560900166856e+02 -7.2678146404608997e+04 +6.5651249199339272e+06 +4.2141604703350204e+08 
+2.1000000000000005e+00 -1.0333912534426932e+00 +2.3114201244547705e+00 +2.3628286740166885e+01 -9.3005994282636300e+02 -7.4251373402843121e+04 +6.6441889524862468e+06 +4.2805251406461453e+08 
+2.2000000000000006e+00 -1.0333925382237437e+00 +2.3121528096633690e+00 +2.3701812008558335e+01 -9.4721018053084640e+02 -7.5706024818687220e+04 +6.7223633705988266e+06 +4.3418627466842520e+08 
+2.3000000000000007e+00 -1.0333937846663042e+00 +2.3128756808614863e+00 +2.3768919548860545e+01 -9.6411709190576278e+02 -7.7046066997498740e+04 +6.7995120283983685e+06 +4.3983867899180418e+08 
+2.4000000000000008e+00 -1.0333949916789200e+00 +2.3135868908336970e+00 +2.3829861757722011e+01 -9.8074145082346411e+02 -7.8275467023673598e+04 +6.8754988062024964e+06 +4.4503108189872044e+08 
+2.5000000000000009e+00 -1.0333961581700144e+00 +2.3142845924659627e+00 +2.3884891040828823e+01 -9.9704403537448036e+02 -7.9398192536502102e+04 +6.9501876112843277e+06 +4.4978484215056860e+08 
+2.6000000000000010e+00 -1.0333972833713045e+00 +2.3149673135293245e+00 +2.3934248934958497e+01 -1.0129932423606531e+03 -8.0418064028081513e+04 +7.0234684397054426e+06 +4.5411963786119270e+08 
+2.7000000000000011e+00 -1.0333983677359651e+00 +2.3156351064507965e+00 +2.3978111536363940e+01 -1.0285884621747109e+03 -8.1337866489562730e+04 +7.0953434417725671e+06 +4.5804654741293156e+08 
+2.8000000000000012e+00 -1.0333994120058410e+00 +2.3162884120532952e+00 +2.4016633235112149e+01 -1.0438369847814083e+03 -8.2160017594515521e+04 +7.1658448028282244e+06 +4.6157403774287719e+08 
+2.9000000000000012e+00 -1.0334004169228403e+00 +2.3169276712129592e+00 +2.4049968434655643e+01 -1.0587461023633884e+03 -8.2886935398724221e+04 +7.2350047239988893e+06 +4.6471057807272047e+08 
+3.0000000000000013e+00 -1.0334013832289002e+00 +2.3175533248558069e+00 +2.4078271546756934e+01 -1.0733231092287106e+03 -8.3521038241255315e+04 +7.3028554217146672e+06 +4.6746463943861324e+08 
+3.1000000000000014e+00 -1.0334023116660009e+00 +2.3181658139626227e+00 +2.4101696992686882e+01 -1.0875753019803810e+03 -8.4064744761716429e+04 +7.3694291289104866e+06 +4.6984469476279902e+08 
+3.2000000000000015e+00 -1.0334032029761679e+00 +2.3187655795616031e+00 +2.4120399204915845e+01 -1.1015099792880312e+03 -8.4520473943015124e+04 +7.4347580937783569e+06 +4.7185921908567113e+08 
+3.3000000000000016e+00 -1.0334040579014676e+00 +2.3193530627274628e+00 +2.4134532623685953e+01 -1.1151344419042628e+03 -8.4890645027967345e+04 +7.4988745801175041e+06 +4.7351668912326264e+08 
+3.4000000000000017e+00 -1.0334048771840512e+00 +2.3199287045814438e+00 +2.4144251705103958e+01 -1.1284559926515465e+03 -8.5177677691623685e+04 +7.5618108673504665e+06 +4.7482558414050144e+08 
+3.5000000000000018e+00 -1.0334056615661296e+00 +2.3204929462889048e+00 +2.4149710915164253e+01 -1.1414819363716274e+03 -8.5383991909118413e+04 +7.6235992504024757e+06 +4.7579438527271366e+08 
+3.6000000000000019e+00 -1.0334064117899771e+00 +2.3210462290610829e+00 +2.4151064732378408e+01 -1.1542195799921512e+03 -8.5512008019930799e+04 +7.6842720402738675e+06 +4.7643157587367773e+08 
+3.7000000000000020e+00 -1.0334071285979576e+00 +2.3215889941446988e+00 +2.4148467648088928e+01 -1.1666762322300483e+03 -8.5564146715679701e+04 +7.7438615624574292e+06 +4.7674564140992826e+08 
+3.8000000000000020e+00 -1.0334078127325241e+00 +2.3221216828327180e+00 +2.4142074169039027e+01 -1.1788592039196576e+03 -8.5542829107065321e+04 +7.8024001590107596e+06 +4.7674506983147770e+08 
+3.9000000000000021e+00 -1.0334084649362090e+00 +2.3226447364505307e+00 +2.4132038813600907e+01 -1.1907758076109915e+03 -8.5450476635380270e+04 +7.8599201863591913e+06 +4.7643835110648382e+08 
+4.0000000000000018e+00 -1.0334090859516394e+00 +2.3231585963651367e+00 +2.4118516114700359e+01 -1.2024333578751946e+03 -8.5289511135843495e+04 +7.9164540173039641e+06 +4.7583397754650033e+08 
+4.1000000000000014e+00 -1.0334096765215532e+00 +2.3236637039730028e+00 +2.4101660620720882e+01 -1.2138391709211030e+03 -8.5062354846966860e+04 +7.9720340388365919e+06 +4.7494044383210748e+08 
+4.2000000000000011e+00 -1.0334102373887990e+00 +2.3241605007078241e+00 +2.4081626896491944e+01 -1.2250005648772153e+03 -8.4771430439760283e+04 +8.0266926540685743e+06 +4.7376624718284935e+08 
+4.3000000000000007e+00 -1.0334107692963266e+00 +2.3246494280357846e+00 +2.4058569520038073e+01 -1.2359248596257837e+03 -8.4419160938715591e+04 +8.0804622813127832e+06 +4.7231988693692362e+08 
+4.4000000000000004e+00 -1.0334112729872589e+00 +2.3251309274481802e+00 +2.4032643093459921e+01 -1.2466193766256295e+03 -8.4007969944003315e+04 +8.1333753532927986e+06 +4.7060986564987832e+08 
+4.5000000000000000e+00 -1.0334117492047681e+00 +2.3256054404710564e+00 +2.4004002225118963e+01 -1.2570914392387485e+03 -8.3540281287124424e+04 +8.1854643186951745e+06 +4.6864468740048599e+08 
+4.5999999999999996e+00 -1.0334121990210905e+00 +2.3260733189889158e+00 +2.3972796857907255e+01 -1.2673478907736821e+03 -8.3018537638660171e+04 +8.2367557641412746e+06 +4.6643330961909544e+08 
+4.6999999999999993e+00 -1.0334126248420754e+00 +2.3265345669073736e+00 +2.3939165664224138e+01 -1.2773929667489979e+03 -8.2445338532476497e+04 +8.2872473269566866e+06 +4.6398711398478037e+08 
+4.7999999999999989e+00 -1.0334130294128496e+00 +2.3269891031896583e+00 +2.3903246530040700e+01 -1.2872300663746264e+03 -8.1823349860177390e+04 +8.3369277878691629e+06 +4.6131828282590413e+08 
+4.8999999999999986e+00 -1.0334134154783892e+00 +2.3274368467143987e+00 +2.3865177320990203e+01 -1.2968625855728994e+03 -8.1155237017040723e+04 +8.3857859033584222e+06 +4.5843899581059802e+08 
+4.9999999999999982e+00 -1.0334137857834733e+00 +2.3278777162710438e+00 +2.3825095878447883e+01 -1.3062939168726291e+03 -8.0443664825110522e+04 +8.4338104054468460e+06 +4.5536142952173424e+08 
+5.0999999999999979e+00 -1.0334141430727277e+00 +2.3283116305598495e+00 +2.3783140022800787e+01 -1.3155274493048498e+03 -7.9691297569855815e+04 +8.4809900006354023e+06 +4.5209775755070555e+08 
