# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +9.1013000000000002e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0256356745443673e-02 -1.0311257611080400e+00 -5.8881708073314595e-02
-1.0000000000000001e-01 +9.1012994847487949e+00 +0.0000000000000000e+00 -9.9999999998230102e-02 +1.0256454735834820e-02 -1.0311237500430195e+00 -5.8881406228782997e-02
-2.0000000000000001e-01 +9.1012979389965576e+00 +0.0000000000000000e+00 -1.9999999998584087e-01 +1.0256547398642644e-02 -1.0311215176630073e+00 -5.8881094364561321e-02
-3.0000000000000004e-01 +9.1012953627455193e+00 +0.0000000000000000e+00 -2.9999999995221305e-01 +1.0256635062927056e-02 -1.0311190888791633e+00 -5.8880771291185380e-02
-4.0000000000000002e-01 +9.1012917559981030e+00 +0.0000000000000000e+00 -3.9999999988672746e-01 +1.0256718057681294e-02 -1.0311164886023938e+00 -5.8880435819270729e-02
-5.0000000000000000e-01 +9.1012871187569075e+00 +0.0000000000000000e+00 -4.9999999977876497e-01 +1.0256796711830425e-02 -1.0311137417434115e+00 -5.8880086759514963e-02
-5.9999999999999998e-01 +9.1012814510246756e+00 +0.0000000000000000e+00 -5.9999999961770656e-01 +1.0256871354229858e-02 -1.0311108732127925e+00 -5.8879722922700412e-02
-6.9999999999999996e-01 +9.1012747528042723e+00 +0.0000000000000000e+00 -6.9999999939293334e-01 +1.0256942313663838e-02 -1.0311079079210370e+00 -5.8879343119696406e-02
-7.9999999999999993e-01 +9.1012670240986591e+00 +0.0000000000000000e+00 -7.9999999909382646e-01 +1.0257009918843986e-02 -1.0311048707786254e+00 -5.8878946161461818e-02
-8.9999999999999991e-01 +9.1012582649108715e+00 +0.0000000000000000e+00 -8.9999999870976710e-01 +1.0257074498407768e-02 -1.0311017866960790e+00 -5.8878530859047547e-02
-9.9999999999999989e-01 +9.1012484752439899e+00 +0.0000000000000000e+00 -9.9999999823013674e-01 +1.0257136380917039e-02 -1.0310986805840174e+00 -5.8878096023598982e-02
-1.0999999999999999e+00 +9.1012376551011176e+00 +0.0000000000000000e+00 -1.0999999976443169e+00 +1.0257195894856524e-02 -1.0310955773532187e+00 -5.8877640466358488e-02
-1.2000000000000000e+00 +9.1012258044853560e+00 +0.0000000000000000e+00 -1.1999999969416890e+00 +1.0257253368632348e-02 -1.0310925019146764e+00 -5.8877162998667826e-02
-1.3000000000000000e+00 +9.1012129233997765e+00 +0.0000000000000000e+00 -1.2999999961116346e+00 +1.0257309130570519e-02 -1.0310894791796577e+00 -5.8876662431970615e-02
-1.4000000000000001e+00 +9.1011990118473989e+00 +0.0000000000000000e+00 -1.3999999951435358e+00 +1.0257363508915469e-02 -1.0310865340597644e+00 -5.8876137577814888e-02
-1.5000000000000002e+00 +9.1011840698311683e+00 +0.0000000000000000e+00 -1.4999999940267741e+00 +1.0257416831828514e-02 -1.0310836914669899e+00 -5.8875587247855465e-02
-1.6000000000000003e+00 +9.1011680973539235e+00 +0.0000000000000000e+00 -1.5999999927507316e+00 +1.0257469423400696e-02 -1.0310809742396838e+00 -5.8875010600103264e-02
-1.7000000000000004e+00 +9.1011510944183804e+00 +0.0000000000000000e+00 -1.6999999913047901e+00 +1.0257521591734967e-02 -1.0310783969198329e+00 -5.8874408177604413e-02
-1.8000000000000005e+00 +9.1011330610271166e+00 +0.0000000000000000e+00 -1.7999999896783316e+00 +1.0257573640981879e-02 -1.0310759719744338e+00 -5.8873780869577480e-02
-1.9000000000000006e+00 +9.1011139971825550e+00 +0.0000000000000000e+00 -1.8999999878607383e+00 +1.0257625875351702e-02 -1.0310737118693121e+00 -5.8873129565125804e-02
-2.0000000000000004e+00 +9.1010939028869569e+00 +0.0000000000000000e+00 -1.9999999858413924e+00 +1.0257678599131520e-02 -1.0310716290689539e+00 -5.8872455153210650e-02
-2.1000000000000005e+00 +9.1010727781424041e+00 +0.0000000000000000e+00 -2.0999999836096759e+00 +1.0257732116702355e-02 -1.0310697360363417e+00 -5.8871758522624912e-02
-2.2000000000000006e+00 +9.1010506229507886e+00 +0.0000000000000000e+00 -2.1999999811549706e+00 +1.0257786732556251e-02 -1.0310680452327836e+00 -5.8871040561966390e-02
-2.3000000000000007e+00 +9.1010274373138031e+00 +0.0000000000000000e+00 -2.2999999784666594e+00 +1.0257842751313390e-02 -1.0310665691177532e+00 -5.8870302159611372e-02
-2.4000000000000008e+00 +9.1010032212329239e+00 +0.0000000000000000e+00 -2.3999999755341239e+00 +1.0257900477739187e-02 -1.0310653201487174e+00 -5.8869544203688035e-02
-2.5000000000000009e+00 +9.1009779747094015e+00 +0.0000000000000000e+00 -2.4999999723467465e+00 +1.0257960216761402e-02 -1.0310643107809738e+00 -5.8868767582049841e-02
-2.6000000000000010e+00 +9.1009516977442448e+00 +0.0000000000000000e+00 -2.5999999688939095e+00 +1.0258022273487256e-02 -1.0310635534674837e+00 -5.8867973182249150e-02
-2.7000000000000011e+00 +9.1009243903382142e+00 +0.0000000000000000e+00 -2.6999999651649951e+00 +1.0258086953220509e-02 -1.0310630606587043e+00 -5.8867161891510575e-02
-2.8000000000000012e+00 +9.1008960524918017e+00 +0.0000000000000000e+00 -2.7999999611493851e+00 +1.0258154561478590e-02 -1.0310628448024244e+00 -5.8866334596704387e-02
-2.9000000000000012e+00 +9.1008666842052275e+00 +0.0000000000000000e+00 -2.8999999568364614e+00 +1.0258225404009686e-02 -1.0310629183435942e+00 -5.8865492184320051e-02
-3.0000000000000013e+00 +9.1008362854784188e+00 +0.0000000000000000e+00 -2.9999999522156058e+00 +1.0258299786809859e-02 -1.0310632937241648e+00 -5.8864635540439678e-02
-3.1000000000000014e+00 +9.1008048563110027e+00 +0.0000000000000000e+00 -3.0999999472762005e+00 +1.0258378016140154e-02 -1.0310639833829169e+00 -5.8863765550711426e-02
-3.2000000000000015e+00 +9.1007723967022915e+00 +0.0000000000000000e+00 -3.1999999420076271e+00 +1.0258460398543692e-02 -1.0310649997552954e+00 -5.8862883100322984e-02
-3.3000000000000016e+00 +9.1007389066512729e+00 +0.0000000000000000e+00 -3.2999999363992671e+00 +1.0258547240862800e-02 -1.0310663552732444e+00 -5.8861989073975038e-02
-3.4000000000000017e+00 +9.1007043861565950e+00 +0.0000000000000000e+00 -3.3999999304405017e+00 +1.0258638850256099e-02 -1.0310680623650399e+00 -5.8861084355854659e-02
-3.5000000000000018e+00 +9.1006688352165543e+00 +0.0000000000000000e+00 -3.4999999241207123e+00 +1.0258735534215623e-02 -1.0310701334551216e+00 -5.8860169829608837e-02
-3.6000000000000019e+00 +9.1006322538290831e+00 +0.0000000000000000e+00 -3.5999999174292800e+00 +1.0258837490310535e-02 -1.0310725751122354e+00 -5.8859246293997164e-02
-3.7000000000000020e+00 +9.1005946419917478e+00 +0.0000000000000000e+00 -3.6999999103555861e+00 +1.0258944475267951e-02 -1.0310753704962212e+00 -5.8858314210175455e-02
-3.8000000000000020e+00 +9.1005559997017595e+00 +0.0000000000000000e+00 -3.7999999028890104e+00 +1.0259056135598594e-02 -1.0310784969168112e+00 -5.8857373955134053e-02
-3.9000000000000021e+00 +9.1005163269559990e+00 +0.0000000000000000e+00 -3.8999998950189338e+00 +1.0259172117836590e-02 -1.0310819316861153e+00 -5.8856425906113861e-02
-4.0000000000000018e+00 +9.1004756237510414e+00 +0.0000000000000000e+00 -3.9999998867347366e+00 +1.0259292068532877e-02 -1.0310856521188871e+00 -5.8855470440635722e-02
-4.1000000000000014e+00 +9.1004338900831740e+00 +0.0000000000000000e+00 -4.0999998780257982e+00 +1.0259415634248679e-02 -1.0310896355327848e+00 -5.8854507936530118e-02
-4.2000000000000011e+00 +9.1003911259484234e+00 +0.0000000000000000e+00 -4.1999998688814992e+00 +1.0259542461548934e-02 -1.0310938592486347e+00 -5.8853538771966411e-02
