# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +9.1013000000000002e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
1.0000000000000001e-01 +9.1012994834858034e+00 +0.0000000000000000e+00 +9.9999999998221428e-02 -1.0330285776638154e-05 +0.0000000000000000e+00 +9.9999999994664257e-01
2.0000000000000001e-01 +9.1012979339424849e+00 +0.0000000000000000e+00 +1.9999999998577134e-01 -2.0660582330262978e-05 +0.0000000000000000e+00 +9.9999999978657017e-01
3.0000000000000004e-01 +9.1012953513689947e+00 +0.0000000000000000e+00 +2.9999999995197824e-01 -3.0990889144324289e-05 +0.0000000000000000e+00 +9.9999999951978236e-01
4.0000000000000002e-01 +9.1012917357643310e+00 +0.0000000000000000e+00 +3.9999999988617063e-01 -4.1321205709670624e-05 +0.0000000000000000e+00 +9.9999999914627891e-01
5.0000000000000000e-01 +9.1012870871275435e+00 +0.0000000000000000e+00 +4.9999999977767684e-01 -5.1651531524546691e-05 +0.0000000000000000e+00 +9.9999999866605960e-01
5.9999999999999998e-01 +9.1012814054577333e+00 +0.0000000000000000e+00 +5.9999999961582529e-01 -6.1981866096025927e-05 +0.0000000000000000e+00 +9.9999999807912410e-01
6.9999999999999996e-01 +9.1012746907540478e+00 +0.0000000000000000e+00 +6.9999999938994439e-01 -7.2312208955799652e-05 +0.0000000000000000e+00 +9.9999999738547218e-01
7.9999999999999993e-01 +9.1012669430156805e+00 +0.0000000000000000e+00 +7.9999999908936248e-01 -8.2642559675967069e-05 +0.0000000000000000e+00 +9.9999999658510363e-01
8.9999999999999991e-01 +9.1012581622418640e+00 +0.0000000000000000e+00 +8.9999999870340786e-01 -9.2972917870469345e-05 +0.0000000000000000e+00 +9.9999999567801823e-01
9.9999999999999989e-01 +9.1012483484318683e+00 +0.0000000000000000e+00 +9.9999999822140884e-01 -1.0330328319508839e-04 +0.0000000000000000e+00 +9.9999999466421574e-01
1.0999999999999999e+00 +9.1012375015849969e+00 +0.0000000000000000e+00 +1.0999999976326937e+00 -1.1363365534744602e-04 +0.0000000000000000e+00 +9.9999999354369606e-01
1.2000000000000000e+00 +9.1012256217005802e+00 +0.0000000000000000e+00 +1.1999999969265909e+00 -1.2396403406700346e-04 +0.0000000000000000e+00 +9.9999999231645897e-01
1.3000000000000000e+00 +9.1012127087779717e+00 +0.0000000000000000e+00 +1.2999999960924284e+00 -1.3429441913506121e-04 +0.0000000000000000e+00 +9.9999999098250436e-01
