# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +9.1210000000000004e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-1.0000000000000001e-01 +9.1209994837706265e+00 +0.0000000000000000e+00 -9.9999999998223371e-02 +1.0324583130249201e-05 +0.0000000000000000e+00 +9.9999999994670152e-01
-2.0000000000000001e-01 +9.1209979350842545e+00 +0.0000000000000000e+00 -1.9999999998578705e-01 +2.0649139867697277e-05 +0.0000000000000000e+00 +9.9999999978680654e-01
-3.0000000000000004e-01 +9.1209953539435435e+00 +0.0000000000000000e+00 -2.9999999995203147e-01 +3.0973669853439321e-05 +0.0000000000000000e+00 +9.9999999952031593e-01
-4.0000000000000002e-01 +9.1209917403511849e+00 +0.0000000000000000e+00 -3.9999999988629709e-01 +4.1298172789044760e-05 +0.0000000000000000e+00 +9.9999999914723048e-01
-5.0000000000000000e-01 +9.1209870943098945e+00 +0.0000000000000000e+00 -4.9999999977792442e-01 +5.1622648436556492e-05 +0.0000000000000000e+00 +9.9999999866755107e-01
-5.9999999999999998e-01 +9.1209814158224116e+00 +0.0000000000000000e+00 -5.9999999961625416e-01 +6.1947096618490411e-05 +0.0000000000000000e+00 +9.9999999808127860e-01
-6.9999999999999996e-01 +9.1209747048914895e+00 +0.0000000000000000e+00 -6.9999999939062707e-01 +7.2271517217835347e-05 +0.0000000000000000e+00 +9.9999999738841383e-01
-7.9999999999999993e-01 +9.1209669615198887e+00 +0.0000000000000000e+00 -7.9999999909038388e-01 +8.2595910178053333e-05 +0.0000000000000000e+00 +9.9999999658895777e-01
-8.9999999999999991e-01 +9.1209581857103750e+00 +0.0000000000000000e+00 -8.9999999870486558e-01 +9.2920275503080335e-05 +0.0000000000000000e+00 +9.9999999568291120e-01
-9.9999999999999989e-01 +9.1209483774657070e+00 +0.0000000000000000e+00 -9.9999999822341312e-01 +1.0324461325732731e-04 +0.0000000000000000e+00 +9.9999999467027489e-01
-1.0999999999999999e+00 +9.1209375367886381e+00 +0.0000000000000000e+00 -1.0999999976353676e+00 +1.1356892356568173e-04 +0.0000000000000000e+00 +9.9999999355104974e-01
-1.2000000000000000e+00 +9.1209256636819021e+00 +0.0000000000000000e+00 -1.1999999969300701e+00 +1.2389320661350937e-04 +0.0000000000000000e+00 +9.9999999232523662e-01
-1.3000000000000000e+00 +9.1209127581482150e+00 +0.0000000000000000e+00 -1.2999999960968620e+00 +1.3421746264665661e-04 +0.0000000000000000e+00 +9.9999999099283632e-01
-1.4000000000000001e+00 +9.1208988201902628e+00 +0.0000000000000000e+00 -1.3999999951250846e+00 +1.4454169197145310e-04 +0.0000000000000000e+00 +9.9999998955384961e-01
-1.5000000000000002e+00 +9.1208838498106992e+00 +0.0000000000000000e+00 -1.4999999940040791e+00 +1.5486589495471474e-04 +0.0000000000000000e+00 +9.9999998800827727e-01
-1.6000000000000003e+00 +9.1208678470121356e+00 +0.0000000000000000e+00 -1.5999999927231872e+00 +1.6519007201903419e-04 +0.0000000000000000e+00 +9.9999998635611997e-01
-1.7000000000000004e+00 +9.1208508117971441e+00 +0.0000000000000000e+00 -1.6999999912717503e+00 +1.7551422359094281e-04 +0.0000000000000000e+00 +9.9999998459737860e-01
-1.8000000000000005e+00 +9.1208327441682542e+00 +0.0000000000000000e+00 -1.7999999896391101e+00 +1.8583835004907072e-04 +0.0000000000000000e+00 +9.9999998273205370e-01
-1.9000000000000006e+00 +9.1208136441279599e+00 +0.0000000000000000e+00 -1.8999999878146083e+00 +1.9616245171943459e-04 +0.0000000000000000e+00 +9.9999998076014607e-01
-2.0000000000000004e+00 +9.1207935116787269e+00 +0.0000000000000000e+00 -1.9999999857875865e+00 +2.0648652887543813e-04 +0.0000000000000000e+00 +9.9999997868165647e-01
-2.1000000000000005e+00 +9.1207723468229940e+00 +0.0000000000000000e+00 -2.0999999835473870e+00 +2.1681058173787237e-04 +0.0000000000000000e+00 +9.9999997649658556e-01
-2.2000000000000006e+00 +9.1207501495631824e+00 +0.0000000000000000e+00 -2.1999999810833510e+00 +2.2713461047491586e-04 +0.0000000000000000e+00 +9.9999997420493403e-01
-2.3000000000000007e+00 +9.1207269199016991e+00 +0.0000000000000000e+00 -2.2999999783848208e+00 +2.3745861520213464e-04 +0.0000000000000000e+00 +9.9999997180670264e-01
-2.4000000000000008e+00 +9.1207026578409405e+00 +0.0000000000000000e+00 -2.3999999754411387e+00 +2.4778259598248216e-04 +0.0000000000000000e+00 +9.9999996930189206e-01
-2.5000000000000009e+00 +9.1206773633833009e+00 +0.0000000000000000e+00 -2.4999999722416466e+00 +2.5810655282629898e-04 +0.0000000000000000e+00 +9.9999996669050306e-01
-2.6000000000000010e+00 +9.1206510365311750e+00 +0.0000000000000000e+00 -2.5999999687756867e+00 +2.6843048569131242e-04 +0.0000000000000000e+00 +9.9999996397253643e-01
-2.7000000000000011e+00 +9.1206236772869644e+00 +0.0000000000000000e+00 -2.6999999650326014e+00 +2.7875439448263594e-04 +0.0000000000000000e+00 +9.9999996114799294e-01
-2.8000000000000012e+00 +9.1205952856530850e+00 +0.0000000000000000e+00 -2.7999999610017330e+00 +2.8907827905276854e-04 +0.0000000000000000e+00 +9.9999995821687337e-01
-2.9000000000000012e+00 +9.1205658616319685e+00 +0.0000000000000000e+00 -2.8999999566724237e+00 +2.9940213920159376e-04 +0.0000000000000000e+00 +9.9999995517917850e-01
-3.0000000000000013e+00 +9.1205354052260681e+00 +0.0000000000000000e+00 -2.9999999520340164e+00 +3.0972597467637895e-04 +0.0000000000000000e+00 +9.9999995203490910e-01
-3.1000000000000014e+00 +9.1205039164378654e+00 +0.0000000000000000e+00 -3.0999999470758532e+00 +3.2004978517177394e-04 +0.0000000000000000e+00 +9.9999994878406617e-01
-3.2000000000000015e+00 +9.1204713952698775e+00 +0.0000000000000000e+00 -3.1999999417872771e+00 +3.3037357032980982e-04 +0.0000000000000000e+00 +9.9999994542665049e-01
-3.3000000000000016e+00 +9.1204378417246570e+00 +0.0000000000000000e+00 -3.2999999361576307e+00 +3.4069732973989754e-04 +0.0000000000000000e+00 +9.9999994196266306e-01
-3.4000000000000017e+00 +9.1204032558048027e+00 +0.0000000000000000e+00 -3.3999999301762571e+00 +3.5102106293882643e-04 +0.0000000000000000e+00 +9.9999993839210477e-01
