# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +9.0984999999999996e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
1.0000000000000001e-01 +9.0984994834176582e+00 +0.0000000000000000e+00 +9.9999999998220943e-02 -1.0331646919912352e-05 +0.0000000000000000e+00 +9.9999999994662858e-01
2.0000000000000001e-01 +9.0984979336705933e+00 +0.0000000000000000e+00 +1.9999999998576762e-01 -2.0663294502588689e-05 +0.0000000000000000e+00 +9.9999999978651422e-01
3.0000000000000004e-01 +9.0984953507587267e+00 +0.0000000000000000e+00 +2.9999999995196569e-01 -3.0994943006523842e-05 +0.0000000000000000e+00 +9.9999999951965679e-01
4.0000000000000002e-01 +9.0984917346819554e+00 +0.0000000000000000e+00 +3.9999999988614088e-01 -4.1326592614125934e-05 +0.0000000000000000e+00 +9.9999999914605642e-01
5.0000000000000000e-01 +9.0984870854401638e+00 +0.0000000000000000e+00 +4.9999999977761889e-01 -5.1658243431708723e-05 +0.0000000000000000e+00 +9.9999999866571299e-01
5.9999999999999998e-01 +9.0984814030332277e+00 +0.0000000000000000e+00 +5.9999999961572537e-01 -6.1989895493205974e-05 +0.0000000000000000e+00 +9.9999999807862650e-01
6.9999999999999996e-01 +9.0984746874610227e+00 +0.0000000000000000e+00 +6.9999999938978608e-01 -7.2321548801111449e-05 +0.0000000000000000e+00 +9.9999999738479683e-01
7.9999999999999993e-01 +9.0984669387234245e+00 +0.0000000000000000e+00 +7.9999999908912667e-01 -8.2653203367420854e-05 +0.0000000000000000e+00 +9.9999999658422400e-01
8.9999999999999991e-01 +9.0984581568203069e+00 +0.0000000000000000e+00 +8.9999999870307279e-01 -9.2984859217350131e-05 +0.0000000000000000e+00 +9.9999999567690800e-01
9.9999999999999989e-01 +9.0984483417515385e+00 +0.0000000000000000e+00 +9.9999999822095020e-01 -1.0331651638933231e-04 +0.0000000000000000e+00 +9.9999999466284872e-01
1.0999999999999999e+00 +9.0984374935169843e+00 +0.0000000000000000e+00 +1.0999999976320844e+00 -1.1364817493501540e-04 +0.0000000000000000e+00 +9.9999999354204616e-01
1.2000000000000000e+00 +9.0984256121165039e+00 +0.0000000000000000e+00 +1.1999999969258013e+00 -1.2397983491926139e-04 +0.0000000000000000e+00 +9.9999999231450021e-01
1.3000000000000000e+00 +9.0984126975499500e+00 +0.0000000000000000e+00 +1.2999999960914264e+00 -1.3431149642014625e-04 +0.0000000000000000e+00 +9.9999999098021086e-01
1.4000000000000001e+00 +9.0983987498171661e+00 +0.0000000000000000e+00 +1.3999999951182853e+00 -1.4464315952896102e-04 +0.0000000000000000e+00 +9.9999998953917812e-01
1.5000000000000002e+00 +9.0983837689179872e+00 +0.0000000000000000e+00 +1.4999999939957038e+00 -1.5497482435021398e-04 +0.0000000000000000e+00 +9.9999998799140177e-01
1.6000000000000003e+00 +9.0983677548522355e+00 +0.0000000000000000e+00 +1.5999999927130075e+00 -1.6530649100163385e-04 +0.0000000000000000e+00 +9.9999998633688181e-01
1.7000000000000004e+00 +9.0983507076197210e+00 +0.0000000000000000e+00 +1.6999999912595221e+00 -1.7563815961417402e-04 +0.0000000000000000e+00 +9.9999998457561823e-01
1.8000000000000005e+00 +9.0983326272202412e+00 +0.0000000000000000e+00 +1.7999999896245731e+00 -1.8596983033201795e-04 +0.0000000000000000e+00 +9.9999998270761081e-01
1.9000000000000006e+00 +9.0983135136535793e+00 +0.0000000000000000e+00 +1.8999999877974860e+00 -1.9630150331258547e-04 +0.0000000000000000e+00 +9.9999998073285956e-01
