# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +9.1132000000000009e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-1.0000000000000001e-01 +9.1131994838737960e+00 +0.0000000000000000e+00 -9.9999999998224093e-02 +1.0322537028787437e-05 +0.0000000000000000e+00 +9.9999999994672262e-01
-2.0000000000000001e-01 +9.1131979354900228e+00 +0.0000000000000000e+00 -1.9999999998579265e-01 +2.0645151259547567e-05 +0.0000000000000000e+00 +9.9999999978688892e-01
-3.0000000000000004e-01 +9.1131953548409932e+00 +0.0000000000000000e+00 -2.9999999995204990e-01 +3.0967842042156254e-05 +0.0000000000000000e+00 +9.9999999952049645e-01
-4.0000000000000002e-01 +9.1131917419190849e+00 +0.0000000000000000e+00 -3.9999999988633989e-01 +4.1290608725242650e-05 +0.0000000000000000e+00 +9.9999999914754290e-01
-5.0000000000000000e-01 +9.1131870967167394e+00 +0.0000000000000000e+00 -4.9999999977800635e-01 +5.1613450656184972e-05 +0.0000000000000000e+00 +9.9999999866802591e-01
-5.9999999999999998e-01 +9.1131814192264660e+00 +0.0000000000000000e+00 -5.9999999961639283e-01 +6.1936367181107620e-05 +0.0000000000000000e+00 +9.9999999808194329e-01
-6.9999999999999996e-01 +9.1131747094408375e+00 +0.0000000000000000e+00 -6.9999999939084268e-01 +7.2259357644879546e-05 +0.0000000000000000e+00 +9.9999999738929268e-01
-7.9999999999999993e-01 +9.1131669673524929e+00 +0.0000000000000000e+00 -7.9999999909069897e-01 +8.2582421391114063e-05 +0.0000000000000000e+00 +9.9999999659007188e-01
-8.9999999999999991e-01 +9.1131581929541383e+00 +0.0000000000000000e+00 -8.9999999870530467e-01 +9.2905557762169817e-05 +0.0000000000000000e+00 +9.9999999568427866e-01
-9.9999999999999989e-01 +9.1131483862385423e+00 +0.0000000000000000e+00 -9.9999999822400232e-01 +1.0322876609915323e-04 +0.0000000000000000e+00 +9.9999999467191092e-01
-1.0999999999999999e+00 +9.1131375471985425e+00 +0.0000000000000000e+00 -1.0999999976361343e+00 +1.1355204574192216e-04 +0.0000000000000000e+00 +9.9999999355296643e-01
-1.2000000000000000e+00 +9.1131256758270407e+00 +0.0000000000000000e+00 -1.1999999969310429e+00 +1.2387539602909094e-04 +0.0000000000000000e+00 +9.9999999232744308e-01
-1.3000000000000000e+00 +9.1131127721170042e+00 +0.0000000000000000e+00 -1.2999999960980702e+00 +1.3419881629803674e-04 +0.0000000000000000e+00 +9.9999999099533876e-01
-1.4000000000000001e+00 +9.1130988360614698e+00 +0.0000000000000000e+00 -1.3999999951265578e+00 +1.4452230588490718e-04 +0.0000000000000000e+00 +9.9999998955665148e-01
-1.5000000000000002e+00 +9.1130838676535380e+00 +0.0000000000000000e+00 -1.4999999940058475e+00 +1.5484586412462935e-04 +0.0000000000000000e+00 +9.9999998801137913e-01
-1.6000000000000003e+00 +9.1130678668863787e+00 +0.0000000000000000e+00 -1.5999999927252806e+00 +1.6516949035270988e-04 +0.0000000000000000e+00 +9.9999998635951970e-01
-1.7000000000000004e+00 +9.1130508337532241e+00 +0.0000000000000000e+00 -1.6999999912741983e+00 +1.7549318392493212e-04 +0.0000000000000000e+00 +9.9999998460107109e-01
-1.8000000000000005e+00 +9.1130327682473702e+00 +0.0000000000000000e+00 -1.7999999896419416e+00 +1.8581694423704825e-04 +0.0000000000000000e+00 +9.9999998273603152e-01
-1.9000000000000006e+00 +9.1130136703621716e+00 +0.0000000000000000e+00 -1.8999999878178515e+00 +1.9614077072657067e-04 +0.0000000000000000e+00 +9.9999998076439889e-01
-2.0000000000000004e+00 +9.1129935400910362e+00 +0.0000000000000000e+00 -1.9999999857912683e+00 +2.0646466287277306e-04 +0.0000000000000000e+00 +9.9999997868617130e-01
-2.1000000000000005e+00 +9.1129723774274236e+00 +0.0000000000000000e+00 -2.0999999835515326e+00 +2.1678862019669103e-04 +0.0000000000000000e+00 +9.9999997650134687e-01
-2.2000000000000006e+00 +9.1129501823648393e+00 +0.0000000000000000e+00 -2.1999999810879847e+00 +2.2711264226112242e-04 +0.0000000000000000e+00 +9.9999997420992359e-01
-2.3000000000000007e+00 +9.1129269548968281e+00 +0.0000000000000000e+00 -2.2999999783899643e+00 +2.3743672867062722e-04 +0.0000000000000000e+00 +9.9999997181189959e-01
-2.4000000000000008e+00 +9.1129026950169738e+00 +0.0000000000000000e+00 -2.3999999754468111e+00 +2.4776087907152708e-04 +0.0000000000000000e+00 +9.9999996930727297e-01
-2.5000000000000009e+00 +9.1128774027188921e+00 +0.0000000000000000e+00 -2.4999999722478652e+00 +2.5808509315190440e-04 +0.0000000000000000e+00 +9.9999996669604185e-01
-2.6000000000000010e+00 +9.1128510779962291e+00 +0.0000000000000000e+00 -2.5999999687824658e+00 +2.6840937064160112e-04 +0.0000000000000000e+00 +9.9999996397820434e-01
-2.7000000000000011e+00 +9.1128237208426572e+00 +0.0000000000000000e+00 -2.6999999650399524e+00 +2.7873371131221711e-04 +0.0000000000000000e+00 +9.9999996115375844e-01
-2.8000000000000012e+00 +9.1127953312518670e+00 +0.0000000000000000e+00 -2.7999999610096640e+00 +2.8905811497710794e-04 +0.0000000000000000e+00 +9.9999995822270227e-01
-2.9000000000000012e+00 +9.1127659092175666e+00 +0.0000000000000000e+00 -2.8999999566809391e+00 +2.9938258149138272e-04 +0.0000000000000000e+00 +9.9999995518503404e-01
-3.0000000000000013e+00 +9.1127354547334765e+00 +0.0000000000000000e+00 -2.9999999520431171e+00 +3.0970711075190108e-04 +0.0000000000000000e+00 +9.9999995204075176e-01
-3.1000000000000014e+00 +9.1127039677933261e+00 +0.0000000000000000e+00 -3.0999999470855357e+00 +3.2003170269727014e-04 +0.0000000000000000e+00 +9.9999994878985343e-01
