# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +9.0449999999999999e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1440467635534088e-02 -1.0337833832857504e+00 -5.8897888254136832e-02
1.0000000000000001e-01 +9.0449994834656930e+00 +0.0000000000000000e+00 +9.9999999998221276e-02 +1.1440335780723686e-02 -1.0337845077438022e+00 -5.8898861929774053e-02
2.0000000000000001e-01 +9.0449979338620317e+00 +0.0000000000000000e+00 +1.9999999998577023e-01 +1.1440202205424714e-02 -1.0337855788099808e+00 -5.8899843004382411e-02
3.0000000000000004e-01 +9.0449953511879464e+00 +0.0000000000000000e+00 +2.9999999995197452e-01 +1.1440066892281369e-02 -1.0337865969407074e+00 -5.8900831234124068e-02
4.0000000000000002e-01 +9.0449917354424194e+00 +0.0000000000000000e+00 +3.9999999988616175e-01 +1.1439929823972697e-02 -1.0337875625921720e+00 -5.8901826375178552e-02
5.0000000000000000e-01 +9.0449870866244861e+00 +0.0000000000000000e+00 +4.9999999977765952e-01 +1.1439790983218089e-02 -1.0337884762202787e+00 -5.8902828183748160e-02
5.9999999999999998e-01 +9.0449814047332335e+00 +0.0000000000000000e+00 +5.9999999961579542e-01 +1.1439650374221368e-02 -1.0337893389351716e+00 -5.8903836428298918e-02
6.9999999999999996e-01 +9.0449746897678001e+00 +0.0000000000000000e+00 +6.9999999938989699e-01 +1.1439508086980363e-02 -1.0337901544649861e+00 -5.8904850926266662e-02
7.9999999999999993e-01 +9.0449669417273721e+00 +0.0000000000000000e+00 +7.9999999908929165e-01 +1.1439364232950456e-02 -1.0337909271922416e+00 -5.8905871507344255e-02
8.9999999999999991e-01 +9.0449581606111771e+00 +0.0000000000000000e+00 +8.9999999870330694e-01 +1.1439218923595954e-02 -1.0337916614993155e+00 -5.8906898001244365e-02
9.9999999999999989e-01 +9.0449483464184812e+00 +0.0000000000000000e+00 +9.9999999822127039e-01 +1.1439072270382232e-02 -1.0337923617684788e+00 -5.8907930237698809e-02
1.0999999999999999e+00 +9.0449374991485865e+00 +0.0000000000000000e+00 +1.0999999976325094e+00 +1.1438924384767880e-02 -1.0337930323819324e+00 -5.8908968046457809e-02
1.2000000000000000e+00 +9.0449256188008231e+00 +0.0000000000000000e+00 +1.1999999969263515e+00 +1.1438775378196825e-02 -1.0337936777218424e+00 -5.8910011257289216e-02
1.3000000000000000e+00 +9.0449127053745482e+00 +0.0000000000000000e+00 +1.2999999960921240e+00 +1.1438625362090478e-02 -1.0337943021703759e+00 -5.8911059699977765e-02
1.4000000000000001e+00 +9.0448987588691363e+00 +0.0000000000000000e+00 +1.3999999951191542e+00 +1.1438474447839898e-02 -1.0337949101097366e+00 -5.8912113204324365e-02
1.5000000000000002e+00 +9.0448837792839836e+00 +0.0000000000000000e+00 +1.4999999939967696e+00 +1.1438322746797890e-02 -1.0337955059221999e+00 -5.8913171600145323e-02
1.6000000000000003e+00 +9.0448677666184931e+00 +0.0000000000000000e+00 +1.5999999927142976e+00 +1.1438170370271193e-02 -1.0337960939901498e+00 -5.8914234717271599e-02
1.7000000000000004e+00 +9.0448507208720805e+00 +0.0000000000000000e+00 +1.6999999912610655e+00 +1.1438017429512583e-02 -1.0337966786961137e+00 -5.8915302385548096e-02
1.8000000000000005e+00 +9.0448326420441632e+00 +0.0000000000000000e+00 +1.7999999896264007e+00 +1.1437864035713034e-02 -1.0337972644227977e+00 -5.8916374434832872e-02
1.9000000000000006e+00 +9.0448135301341566e+00 +0.0000000000000000e+00 +1.8999999877996305e+00 +1.1437710299993856e-02 -1.0337978555531238e+00 -5.8917450694996452e-02
2.0000000000000004e+00 +9.0447933851414710e+00 +0.0000000000000000e+00 +1.9999999857700821e+00 +1.1437556333398826e-02 -1.0337984564702640e+00 -5.8918530995921030e-02
2.1000000000000005e+00 +9.0447722070655097e+00 +0.0000000000000000e+00 +2.0999999835270828e+00 +1.1437402246886341e-02 -1.0337990715576761e+00 -5.8919615167499710e-02
2.2000000000000006e+00 +9.0447499959056579e+00 +0.0000000000000000e+00 +2.1999999810599600e+00 +1.1437248151321557e-02 -1.0337997051991417e+00 -5.8920703039635869e-02
2.3000000000000007e+00 +9.0447267516612850e+00 +0.0000000000000000e+00 +2.2999999783580409e+00 +1.1437094157468512e-02 -1.0338003617787968e+00 -5.8921794442242277e-02
2.4000000000000008e+00 +9.0447024743317375e+00 +0.0000000000000000e+00 +2.3999999754106525e+00 +1.1436940375982299e-02 -1.0338010456811730e+00 -5.8922889205240449e-02
2.5000000000000009e+00 +9.0446771639163348e+00 +0.0000000000000000e+00 +2.4999999722071222e+00 +1.1436786917401182e-02 -1.0338017612912307e+00 -5.8923987158559864e-02
2.6000000000000010e+00 +9.0446508204143630e+00 +0.0000000000000000e+00 +2.5999999687367770e+00 +1.1436633877621286e-02 -1.0338025107460318e+00 -5.8925087968500052e-02
2.7000000000000011e+00 +9.0446234438250759e+00 +0.0000000000000000e+00 +2.6999999649889439e+00 +1.1436481294394361e-02 -1.0338032871894429e+00 -5.8926190646815202e-02
2.8000000000000012e+00 +9.0445950341477026e+00 +0.0000000000000000e+00 +2.7999999609529502e+00 +1.1436329190981162e-02 -1.0338040815168039e+00 -5.8927294041619886e-02
2.9000000000000012e+00 +9.0445655913814527e+00 +0.0000000000000000e+00 +2.8999999566181232e+00 +1.1436177590691182e-02 -1.0338048846232071e+00 -5.8928397001024431e-02
3.0000000000000013e+00 +9.0445351155255285e+00 +0.0000000000000000e+00 +2.9999999519737894e+00 +1.1436026516891169e-02 -1.0338056874034642e+00 -5.8929498373133327e-02
3.1000000000000014e+00 +9.0445036065791307e+00 +0.0000000000000000e+00 +3.0999999470092763e+00 +1.1435875993013720e-02 -1.0338064807520697e+00 -5.8930597006043674e-02
3.2000000000000015e+00 +9.0444710645414705e+00 +0.0000000000000000e+00 +3.1999999417139104e+00 +1.1435726042565793e-02 -1.0338072555631741e+00 -5.8931691747843760e-02
3.3000000000000016e+00 +9.0444374894117789e+00 +0.0000000000000000e+00 +3.2999999360770191e+00 +1.1435576689137320e-02 -1.0338080027305467e+00 -5.8932781446611515e-02
3.4000000000000017e+00 +9.0444028811893133e+00 +0.0000000000000000e+00 +3.3999999300879291e+00 +1.1435427956409696e-02 -1.0338087131475449e+00 -5.8933864950412938e-02
3.5000000000000018e+00 +9.0443672398733668e+00 +0.0000000000000000e+00 +3.4999999237359671e+00 +1.1435279868164396e-02 -1.0338093777070811e+00 -5.8934941107300638e-02
3.6000000000000019e+00 +9.0443305654632820e+00 +0.0000000000000000e+00 +3.5999999170104604e+00 +1.1435132448291471e-02 -1.0338099873015900e+00 -5.8936008765312256e-02
3.7000000000000020e+00 +9.0442928579584532e+00 +0.0000000000000000e+00 +3.6999999099007357e+00 +1.1434985720798147e-02 -1.0338105328229956e+00 -5.8937066772469016e-02
3.8000000000000020e+00 +9.0442541173583404e+00 +0.0000000000000000e+00 +3.7999999023961202e+00 +1.1434839709817356e-02 -1.0338110051626792e+00 -5.8938113976774155e-02
3.9000000000000021e+00 +9.0442143436624765e+00 +0.0000000000000000e+00 +3.8999998944859406e+00 +1.1434694439616306e-02 -1.0338113952114458e+00 -5.8939149226211449e-02
4.0000000000000018e+00 +9.0441735368704759e+00 +0.0000000000000000e+00 +3.9999998861595243e+00 +1.1434549934605012e-02 -1.0338116938594932e+00 -5.8940171368743660e-02
4.1000000000000014e+00 +9.0441316969820456e+00 +0.0000000000000000e+00 +4.0999998774061979e+00 +1.1434406219344865e-02 -1.0338118919963772e+00 -5.8941179252311036e-02
4.2000000000000011e+00 +9.0440888239969937e+00 +0.0000000000000000e+00 +4.1999998682152881e+00 +1.1434263318557195e-02 -1.0338119805109807e+00 -5.8942171724829795e-02
4.3000000000000007e+00 +9.0440449179152367e+00 +0.0000000000000000e+00 +4.2999998585761228e+00 +1.1434121257131806e-02 -1.0338119502914793e+00 -5.8943147634190597e-02
4.4000000000000004e+00 +9.0439999787368102e+00 +0.0000000000000000e+00 +4.3999998484780285e+00 +1.1433980060135527e-02 -1.0338117922253116e+00 -5.8944105828257036e-02
4.5000000000000000e+00 +9.0439540064618775e+00 +0.0000000000000000e+00 +4.4999998379103330e+00 +1.1433839752820786e-02 -1.0338114971991419e+00 -5.8945045154864179e-02
