# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +9.1013000000000002e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
-1.0000000000000001e-01 +9.1012994835688001e+00 +0.0000000000000000e+00 -9.9999999998221983e-02 +1.0328624810715590e-05 +0.0000000000000000e+00 +9.9999999994665978e-01
-2.0000000000000001e-01 +9.1012979342748874e+00 +0.0000000000000000e+00 -1.9999999998577592e-01 +2.0657254131760339e-05 +0.0000000000000000e+00 +9.9999999978663900e-01
-3.0000000000000004e-01 +9.1012953521178428e+00 +0.0000000000000000e+00 -2.9999999995199378e-01 +3.0985887367526398e-05 +0.0000000000000000e+00 +9.9999999951993745e-01
-4.0000000000000002e-01 +9.1012917370973074e+00 +0.0000000000000000e+00 -3.9999999988620738e-01 +4.1314523800644261e-05 +0.0000000000000000e+00 +9.9999999914655513e-01
-5.0000000000000000e-01 +9.1012870892130042e+00 +0.0000000000000000e+00 -4.9999999977774873e-01 +5.1643162591981098e-05 +0.0000000000000000e+00 +9.9999999866649192e-01
-5.9999999999999998e-01 +9.1012814084647431e+00 +0.0000000000000000e+00 -5.9999999961594974e-01 +6.1971802780638345e-05 +0.0000000000000000e+00 +9.9999999807974782e-01
-6.9999999999999996e-01 +9.1012746948524370e+00 +0.0000000000000000e+00 -6.9999999939014224e-01 +7.2300443283948728e-05 +0.0000000000000000e+00 +9.9999999738632295e-01
-7.9999999999999993e-01 +9.1012669483761144e+00 +0.0000000000000000e+00 -7.9999999908965824e-01 +8.2629082897472481e-05 +0.0000000000000000e+00 +9.9999999658621730e-01
-8.9999999999999991e-01 +9.1012581690359298e+00 +0.0000000000000000e+00 -8.9999999870382963e-01 +9.2957720294992947e-05 +0.0000000000000000e+00 +9.9999999567943110e-01
-9.9999999999999989e-01 +9.1012483568321763e+00 +0.0000000000000000e+00 -9.9999999822198837e-01 +1.0328635402851154e-04 +0.0000000000000000e+00 +9.9999999466596456e-01
-1.0999999999999999e+00 +9.1012375117652979e+00 +0.0000000000000000e+00 -1.0999999976334665e+00 +1.1361498252824193e-04 +0.0000000000000000e+00 +9.9999999354581792e-01
-1.2000000000000000e+00 +9.1012256338359006e+00 +0.0000000000000000e+00 -1.1999999969275958e+00 +1.2394360410260356e-04 +0.0000000000000000e+00 +9.9999999231899150e-01
-1.3000000000000000e+00 +9.1012127230447675e+00 +0.0000000000000000e+00 -1.2999999960937088e+00 +1.3427221693821463e-04 +0.0000000000000000e+00 +9.9999999098548586e-01
-1.4000000000000001e+00 +9.1011987793928686e+00 +0.0000000000000000e+00 -1.3999999951211370e+00 +1.4460081909988421e-04 +0.0000000000000000e+00 +9.9999998954530156e-01
-1.5000000000000002e+00 +9.1011838028813727e+00 +0.0000000000000000e+00 -1.4999999939992130e+00 +1.5492940853060376e-04 +0.0000000000000000e+00 +9.9999998799843914e-01
-1.6000000000000003e+00 +9.1011677935116602e+00 +0.0000000000000000e+00 -1.5999999927172690e+00 +1.6525798306282134e-04 +0.0000000000000000e+00 +9.9999998634489951e-01
-1.7000000000000004e+00 +9.1011507512853296e+00 +0.0000000000000000e+00 -1.6999999912646371e+00 +1.7558654054255002e-04 +0.0000000000000000e+00 +9.9999998458468331e-01
-1.8000000000000005e+00 +9.1011326762041875e+00 +0.0000000000000000e+00 -1.7999999896306498e+00 +1.8591507895348057e-04 +0.0000000000000000e+00 +9.9999998271779156e-01
-1.9000000000000006e+00 +9.1011135682702360e+00 +0.0000000000000000e+00 -1.8999999878046396e+00 +1.9624359642826328e-04 +0.0000000000000000e+00 +9.9999998074422525e-01
-2.0000000000000004e+00 +9.1010934274856563e+00 +0.0000000000000000e+00 -1.9999999857759392e+00 +2.0657209124850723e-04 +0.0000000000000000e+00 +9.9999997866398538e-01
-2.1000000000000005e+00 +9.1010722538527933e+00 +0.0000000000000000e+00 -2.0999999835338810e+00 +2.1690056184478005e-04 +0.0000000000000000e+00 +9.9999997647707295e-01
-2.2000000000000006e+00 +9.1010500473741427e+00 +0.0000000000000000e+00 -2.1999999810677981e+00 +2.2722900679660843e-04 +0.0000000000000000e+00 +9.9999997418348896e-01
-2.3000000000000007e+00 +9.1010268080523318e+00 +0.0000000000000000e+00 -2.2999999783670231e+00 +2.3755742483247920e-04 +0.0000000000000000e+00 +9.9999997178323463e-01
-2.4000000000000008e+00 +9.1010025358901103e+00 +0.0000000000000000e+00 -2.3999999754208892e+00 +2.4788581482984096e-04 +0.0000000000000000e+00 +9.9999996927631096e-01
-2.5000000000000009e+00 +9.1009772308903329e+00 +0.0000000000000000e+00 -2.4999999722187294e+00 +2.5821417581510655e-04 +0.0000000000000000e+00 +9.9999996666271918e-01
-2.6000000000000010e+00 +9.1009508930559431e+00 +0.0000000000000000e+00 -2.5999999687498772e+00 +2.6854250696365593e-04 +0.0000000000000000e+00 +9.9999996394246038e-01
-2.7000000000000011e+00 +9.1009235223899587e+00 +0.0000000000000000e+00 -2.6999999650036659e+00 +2.7887080759983983e-04 +0.0000000000000000e+00 +9.9999996111553568e-01
-2.8000000000000012e+00 +9.1008951188954583e+00 +0.0000000000000000e+00 -2.7999999609694290e+00 +2.8919907719698380e-04 +0.0000000000000000e+00 +9.9999995818194609e-01
-2.9000000000000012e+00 +9.1008656825755665e+00 +0.0000000000000000e+00 -2.8999999566365000e+00 +2.9952731537739326e-04 +0.0000000000000000e+00 +9.9999995514169271e-01
