# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +9.1013000000000002e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1737529931591878e-02 -1.0338359660479925e+00 -5.9031814226333280e-02
-1.0000000000000001e-01 +9.1012994833937242e+00 +0.0000000000000000e+00 -9.9999999998220804e-02 +1.1737578028541699e-02 -1.0338387389000563e+00 -5.9031020626410961e-02
-2.0000000000000001e-01 +9.1012979335730488e+00 +0.0000000000000000e+00 -1.9999999998576629e-01 +1.1737621085751972e-02 -1.0338415091656101e+00 -5.9030225308122346e-02
-3.0000000000000004e-01 +9.1012953505352066e+00 +0.0000000000000000e+00 -2.9999999995196103e-01 +1.1737659728216112e-02 -1.0338442732696489e+00 -5.9029428831934849e-02
-4.0000000000000002e-01 +9.1012917342774351e+00 +0.0000000000000000e+00 -3.9999999988612961e-01 +1.1737694580922348e-02 -1.0338470276368987e+00 -5.9028631758320627e-02
-5.0000000000000000e-01 +9.1012870847969829e+00 +0.0000000000000000e+00 -4.9999999977759646e-01 +1.1737726268855716e-02 -1.0338497686918429e+00 -5.9027834647757176e-02
-5.9999999999999998e-01 +9.1012814020911108e+00 +0.0000000000000000e+00 -5.9999999961568595e-01 +1.1737755417000097e-02 -1.0338524928587469e+00 -5.9027038060727934e-02
-6.9999999999999996e-01 +9.1012746861570974e+00 +0.0000000000000000e+00 -6.9999999938972235e-01 +1.1737782650340173e-02 -1.0338551965616778e+00 -5.9026242557722895e-02
-7.9999999999999993e-01 +9.1012669369922410e+00 +0.0000000000000000e+00 -7.9999999908902975e-01 +1.1737808593863440e-02 -1.0338578762245301e+00 -5.9025448699239202e-02
-8.9999999999999991e-01 +9.1012581545938644e+00 +0.0000000000000000e+00 -8.9999999870293235e-01 +1.1737833872562211e-02 -1.0338605282710489e+00 -5.9024657045781664e-02
-9.9999999999999989e-01 +9.1012483389593193e+00 +0.0000000000000000e+00 -9.9999999822075414e-01 +1.1737859111435607e-02 -1.0338631491248518e+00 -5.9023868157863417e-02
-1.0999999999999999e+00 +9.1012374900859889e+00 +0.0000000000000000e+00 -1.0999999976318191e+00 +1.1737884935491553e-02 -1.0338657352094540e+00 -5.9023082596006492e-02
