# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
0.0000000000000000e+00 +9.1013000000000002e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.0000000000000000e+00
1.0000000000000001e-01 +9.1012994844526709e+00 +0.0000000000000000e+00 +9.9999999998228090e-02 -1.0310943734217699e-05 +0.0000000000000000e+00 +9.9999999994684219e-01
2.0000000000000001e-01 +9.1012979378118413e+00 +0.0000000000000000e+00 +1.9999999998582463e-01 -2.0621869830753968e-05 +0.0000000000000000e+00 +9.9999999978736920e-01
3.0000000000000004e-01 +9.1012953600793232e+00 +0.0000000000000000e+00 +2.9999999995215809e-01 -3.0932777353870531e-05 +0.0000000000000000e+00 +9.9999999952158158e-01
4.0000000000000002e-01 +9.1012917512570244e+00 +0.0000000000000000e+00 +3.9999999988659712e-01 -4.1243665281632726e-05 +0.0000000000000000e+00 +9.9999999914948001e-01
5.0000000000000000e-01 +9.1012871113469576e+00 +0.0000000000000000e+00 +4.9999999977851028e-01 -5.1554532505907684e-05 +0.0000000000000000e+00 +9.9999999867106504e-01
5.9999999999999998e-01 +9.1012814403512525e+00 +0.0000000000000000e+00 +5.9999999961726636e-01 -6.1865377837206555e-05 +0.0000000000000000e+00 +9.9999999808633744e-01
6.9999999999999996e-01 +9.1012747382721599e+00 +0.0000000000000000e+00 +6.9999999939223401e-01 -7.2176200057965943e-05 +0.0000000000000000e+00 +9.9999999739529799e-01
7.9999999999999993e-01 +9.1012670051120512e+00 +0.0000000000000000e+00 +7.9999999909278219e-01 -8.2486997975830470e-05 +0.0000000000000000e+00 +9.9999999659794747e-01
8.9999999999999991e-01 +9.1012582408734133e+00 +0.0000000000000000e+00 +8.9999999870827985e-01 -9.2797770428497419e-05 +0.0000000000000000e+00 +9.9999999569428677e-01
9.9999999999999989e-01 +9.1012484455588520e+00 +0.0000000000000000e+00 +9.9999999822809593e-01 -1.0310851628371827e-04 +0.0000000000000000e+00 +9.9999999468431677e-01
1.0999999999999999e+00 +9.1012376191710800e+00 +0.0000000000000000e+00 +1.0999999976415995e+00 -1.1341923443930092e-04 +0.0000000000000000e+00 +9.9999999356803848e-01
1.2000000000000000e+00 +9.1012257617129233e+00 +0.0000000000000000e+00 +1.1999999969381601e+00 -1.2372992382311267e-04 +0.0000000000000000e+00 +9.9999999234545278e-01
1.3000000000000000e+00 +9.1012128731873094e+00 +0.0000000000000000e+00 +1.2999999961071467e+00 -1.3404058339308391e-04 +0.0000000000000000e+00 +9.9999999101656079e-01
1.4000000000000001e+00 +9.1011989535972724e+00 +0.0000000000000000e+00 +1.3999999951379287e+00 -1.4435121213721247e-04 +0.0000000000000000e+00 +9.9999998958136360e-01
1.5000000000000002e+00 +9.1011840029459421e+00 +0.0000000000000000e+00 +1.4999999940198758e+00 -1.5466180907356894e-04 +0.0000000000000000e+00 +9.9999998803986223e-01
1.6000000000000003e+00 +9.1011680212365498e+00 +0.0000000000000000e+00 +1.5999999927423576e+00 -1.6497237325030229e-04 +0.0000000000000000e+00 +9.9999998639205778e-01
1.7000000000000004e+00 +9.1011510084724154e+00 +0.0000000000000000e+00 +1.6999999912947439e+00 -1.7528290374564664e-04 +0.0000000000000000e+00 +9.9999998463795159e-01
1.8000000000000005e+00 +9.1011329646569532e+00 +0.0000000000000000e+00 +1.7999999896664045e+00 -1.8559339966792851e-04 +0.0000000000000000e+00 +9.9999998277754476e-01
1.9000000000000006e+00 +9.1011138897936625e+00 +0.0000000000000000e+00 +1.8999999878467095e+00 -1.9590386015557487e-04 +0.0000000000000000e+00 +9.9999998081083852e-01
2.0000000000000004e+00 +9.1010937838861299e+00 +0.0000000000000000e+00 +1.9999999858250290e+00 -2.0621428437712195e-04 +0.0000000000000000e+00 +9.9999997873783419e-01
2.1000000000000005e+00 +9.1010726469380216e+00 +0.0000000000000000e+00 +2.0999999835907333e+00 -2.1652467153122462e-04 +0.0000000000000000e+00 +9.9999997655853301e-01
2.2000000000000006e+00 +9.1010504789530842e+00 +0.0000000000000000e+00 +2.1999999811331925e+00 -2.2683502084666672e-04 +0.0000000000000000e+00 +9.9999997427293630e-01
2.3000000000000007e+00 +9.1010272799351384e+00 +0.0000000000000000e+00 +2.2999999784417775e+00 -2.3714533158237199e-04 +0.0000000000000000e+00 +9.9999997188104539e-01
2.4000000000000008e+00 +9.1010030498880781e+00 +0.0000000000000000e+00 +2.3999999755058585e+00 -2.4745560302741559e-04 +0.0000000000000000e+00 +9.9999996938286173e-01
2.5000000000000009e+00 +9.1009777888158663e+00 +0.0000000000000000e+00 +2.4999999723148068e+00 -2.5776583450103671e-04 +0.0000000000000000e+00 +9.9999996677838665e-01
2.6000000000000010e+00 +9.1009514967225318e+00 +0.0000000000000000e+00 +2.5999999688579929e+00 -2.6807602535412588e-04 +0.0000000000000000e+00 +9.9999996406762159e-01
2.7000000000000011e+00 +9.1009241736121691e+00 +0.0000000000000000e+00 +2.6999999651247881e+00 -2.7838617498545428e-04 +0.0000000000000000e+00 +9.9999996125056800e-01
2.8000000000000012e+00 +9.1008958194889260e+00 +0.0000000000000000e+00 +2.7999999611045636e+00 -2.8869628285789782e-04 +0.0000000000000000e+00 +9.9999995832722721e-01
2.9000000000000012e+00 +9.1008664343570036e+00 +0.0000000000000000e+00 +2.8999999567866905e+00 -2.9900634849991468e-04 +0.0000000000000000e+00 +9.9999995529760077e-01
3.0000000000000013e+00 +9.1008360182206474e+00 +0.0000000000000000e+00 +2.9999999521605409e+00 -3.0931637150554824e-04 +0.0000000000000000e+00 +9.9999995216169002e-01
3.1000000000000014e+00 +9.1008045710841365e+00 +0.0000000000000000e+00 +3.0999999472154860e+00 -3.1962635153442949e-04 +0.0000000000000000e+00 +9.9999994891949640e-01
3.2000000000000015e+00 +9.1007720929517824e+00 +0.0000000000000000e+00 +3.1999999419408978e+00 -3.2993628831177942e-04 +0.0000000000000000e+00 +9.9999994557102134e-01
3.3000000000000016e+00 +9.1007385838279227e+00 +0.0000000000000000e+00 +3.2999999363261479e+00 -3.4024618162841066e-04 +0.0000000000000000e+00 +9.9999994211626630e-01
3.4000000000000017e+00 +9.1007040437169096e+00 +0.0000000000000000e+00 +3.3999999303606083e+00 -3.5055603134072930e-04 +0.0000000000000000e+00 +9.9999993855523261e-01
3.5000000000000018e+00 +9.1006684726231093e+00 +0.0000000000000000e+00 +3.4999999240336517e+00 -3.6086583737073594e-04 +0.0000000000000000e+00 +9.9999993488792160e-01
3.6000000000000019e+00 +9.1006318705508917e+00 +0.0000000000000000e+00 +3.5999999173346500e+00 -3.7117559970602666e-04 +0.0000000000000000e+00 +9.9999993111433472e-01
3.7000000000000020e+00 +9.1005942375046232e+00 +0.0000000000000000e+00 +3.6999999102529761e+00 -3.8148531839979355e-04 +0.0000000000000000e+00 +9.9999992723447328e-01
3.8000000000000020e+00 +9.1005555734886627e+00 +0.0000000000000000e+00 +3.7999999027780023e+00 -3.9179499357082495e-04 +0.0000000000000000e+00 +9.9999992324833853e-01
