# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +9.1013000000000002e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +1.1397123177925524e-02 -1.0329291789372099e+00 -5.9102473071985524e-02
1.0000000000000001e-01 +9.1012994838464518e+00 +0.0000000000000000e+00 +9.9999999998223912e-02 +1.1397235237976847e-02 -1.0329343094599519e+00 -5.9102697857510142e-02
2.0000000000000001e-01 +9.1012979353823873e+00 +0.0000000000000000e+00 +1.9999999998579121e-01 +1.1397346944262726e-02 -1.0329394523992517e+00 -5.9102934862463048e-02
3.0000000000000004e-01 +9.1012953546026676e+00 +0.0000000000000000e+00 +2.9999999995204507e-01 +1.1397458388079233e-02 -1.0329445890845166e+00 -5.9103184604824957e-02
4.0000000000000002e-01 +9.1012917415021608e+00 +0.0000000000000000e+00 +3.9999999988632856e-01 +1.1397569660653672e-02 -1.0329497008451651e+00 -5.9103447602534775e-02
5.0000000000000000e-01 +9.1012870960757599e+00 +0.0000000000000000e+00 +4.9999999977798459e-01 +1.1397680853132091e-02 -1.0329547690106073e+00 -5.9103724373476614e-02
5.9999999999999998e-01 +9.1012814183184023e+00 +0.0000000000000000e+00 +5.9999999961635586e-01 +1.1397792035383903e-02 -1.0329597776880197e+00 -5.9104015463253001e-02
6.9999999999999996e-01 +9.1012747082250822e+00 +0.0000000000000000e+00 +6.9999999939078505e-01 +1.1397903192463029e-02 -1.0329647220957510e+00 -5.9104321528549011e-02
7.9999999999999993e-01 +9.1012669657908596e+00 +0.0000000000000000e+00 +7.9999999909061459e-01 +1.1398014288194395e-02 -1.0329696002299193e+00 -5.9104643253799403e-02
8.9999999999999991e-01 +9.1012581910108619e+00 +0.0000000000000000e+00 +8.9999999870518677e-01 +1.1398125286374244e-02 -1.0329744100866096e+00 -5.9104981323412673e-02
9.9999999999999989e-01 +9.1012483838802805e+00 +0.0000000000000000e+00 +9.9999999822384367e-01 +1.1398236150783230e-02 -1.0329791496618677e+00 -5.9105336421778329e-02
1.0999999999999999e+00 +9.1012375443943814e+00 +0.0000000000000000e+00 +1.0999999976359274e+00 +1.1398346845199584e-02 -1.0329838169516901e+00 -5.9105709233273844e-02
1.2000000000000000e+00 +9.1012256725485017e+00 +0.0000000000000000e+00 +1.1999999969307797e+00 +1.1398457333412246e-02 -1.0329884099520241e+00 -5.9106100442271985e-02
1.3000000000000000e+00 +9.1012127683380530e+00 +0.0000000000000000e+00 +1.2999999960977424e+00 +1.1398567579234013e-02 -1.0329929266587583e+00 -5.9106510733147932e-02
1.4000000000000001e+00 +9.1011988317585217e+00 +0.0000000000000000e+00 +1.3999999951261570e+00 +1.1398677546514675e-02 -1.0329973650677176e+00 -5.9106940790286389e-02
1.5000000000000002e+00 +9.1011838628054740e+00 +0.0000000000000000e+00 +1.4999999940053652e+00 +1.1398787199154135e-02 -1.0330017231746564e+00 -5.9107391298088785e-02
1.6000000000000003e+00 +9.1011678614745559e+00 +0.0000000000000000e+00 +1.5999999927247082e+00 +1.1398896501115578e-02 -1.0330059989752551e+00 -5.9107862940980402e-02
1.7000000000000004e+00 +9.1011508277614972e+00 +0.0000000000000000e+00 +1.6999999912735271e+00 +1.1399005416438599e-02 -1.0330101904651110e+00 -5.9108356403417592e-02
1.8000000000000005e+00 +9.1011327616621092e+00 +0.0000000000000000e+00 +1.7999999896411631e+00 +1.1399113909252351e-02 -1.0330142956397348e+00 -5.9108872369894830e-02
1.9000000000000006e+00 +9.1011136631722938e+00 +0.0000000000000000e+00 +1.8999999878169576e+00 +1.1399221943788680e-02 -1.0330183124945442e+00 -5.9109411524952062e-02
2.0000000000000004e+00 +9.1010935322880364e+00 +0.0000000000000000e+00 +1.9999999857902508e+00 +1.1399329484395255e-02 -1.0330222390248578e+00 -5.9109974553181593e-02
2.1000000000000005e+00 +9.1010723690054167e+00 +0.0000000000000000e+00 +2.0999999835503842e+00 +1.1399436495548733e-02 -1.0330260732258876e+00 -5.9110562139235497e-02
2.2000000000000006e+00 +9.1010501733206048e+00 +0.0000000000000000e+00 +2.1999999810866981e+00 +1.1399542941867895e-02 -1.0330298130927376e+00 -5.9111174967832678e-02
2.3000000000000007e+00 +9.1010269452298651e+00 +0.0000000000000000e+00 +2.2999999783885330e+00 +1.1399648788126776e-02 -1.0330334566203925e+00 -5.9111813723765935e-02
2.4000000000000008e+00 +9.1010026847295595e+00 +0.0000000000000000e+00 +2.3999999754452297e+00 +1.1399753999267815e-02 -1.0330370018037156e+00 -5.9112479091909267e-02
2.5000000000000009e+00 +9.1009773918161461e+00 +0.0000000000000000e+00 +2.4999999722461284e+00 +1.1399858540415008e-02 -1.0330404466374410e+00 -5.9113171757224976e-02
2.6000000000000010e+00 +9.1009510664861875e+00 +0.0000000000000000e+00 +2.5999999687805690e+00 +1.1399962332424084e-02 -1.0330437902784286e+00 -5.9113892168841331e-02
2.7000000000000011e+00 +9.1009237087363424e+00 +0.0000000000000000e+00 +2.6999999650378923e+00 +1.1400065118423508e-02 -1.0330470365325404e+00 -5.9114639832233522e-02
2.8000000000000012e+00 +9.1008953185633708e+00 +0.0000000000000000e+00 +2.7999999610074386e+00 +1.1400166597060581e-02 -1.0330501903680533e+00 -5.9115414016950966e-02
2.9000000000000012e+00 +9.1008658959641213e+00 +0.0000000000000000e+00 +2.8999999566785477e+00 +1.1400266466934489e-02 -1.0330532567534485e+00 -5.9116213992535152e-02
3.0000000000000013e+00 +9.1008354409355334e+00 +0.0000000000000000e+00 +2.9999999520405596e+00 +1.1400364426585948e-02 -1.0330562406574344e+00 -5.9117039028516581e-02
3.1000000000000014e+00 +9.1008039534746281e+00 +0.0000000000000000e+00 +3.0999999470828143e+00 +1.1400460174486787e-02 -1.0330591470489658e+00 -5.9117888394411261e-02
3.2000000000000015e+00 +9.1007714335785028e+00 +0.0000000000000000e+00 +3.1999999417946521e+00 +1.1400553409029606e-02 -1.0330619808972770e+00 -5.9118761359717810e-02
3.3000000000000016e+00 +9.1007378812443296e+00 +0.0000000000000000e+00 +3.2999999361654120e+00 +1.1400643828517376e-02 -1.0330647471718959e+00 -5.9119657193913849e-02
3.4000000000000017e+00 +9.1007032964693462e+00 +0.0000000000000000e+00 +3.3999999301844346e+00 +1.1400731131153077e-02 -1.0330674508426738e+00 -5.9120575166453110e-02
3.5000000000000018e+00 +9.1006676792508543e+00 +0.0000000000000000e+00 +3.4999999238410591e+00 +1.1400815015029295e-02 -1.0330700968798068e+00 -5.9121514546761941e-02
3.6000000000000019e+00 +9.1006310295862125e+00 +0.0000000000000000e+00 +3.5999999171246251e+00 +1.1400895178117872e-02 -1.0330726902538578e+00 -5.9122474604236225e-02
3.7000000000000020e+00 +9.1005933474728327e+00 +0.0000000000000000e+00 +3.6999999100244723e+00 +1.1400971318259510e-02 -1.0330752359357858e+00 -5.9123454608238049e-02
3.8000000000000020e+00 +9.1005546329081746e+00 +0.0000000000000000e+00 +3.7999999025299402e+00 +1.1401043133153387e-02 -1.0330777388969627e+00 -5.9124453828092581e-02
