fieldmap_name:	BD-048
timestamp:	2017-04-20_12-30-52
filename:	2017-04-20_BD-048_Model09_Hall_I=991.63A.dat
nr_magnets:	1

magnet_name:	BD-048
gap[mm]:	28
control_gap:	--
magnet_length[mm]:	1206
current_main[A]:	991.63
NI_main[A.esp]:	11899.56
center_pos_z[mm]:	0
center_pos_x[mm]:	0
rotation[deg]:	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
---------------------------------------------------------------------------------------------
-50.000	0.000	-741.500	5.7143422494e-05	-4.3421247255e-03	-5.9513910669e-05
-48.000	0.000	-741.500	4.4421514649e-05	-4.4253897365e-03	-5.8880783959e-05
-46.000	0.000	-741.500	3.0258969398e-05	-4.5059730926e-03	-5.8106962426e-05
-44.000	0.000	-741.500	1.7574287326e-05	-4.5844857804e-03	-5.7929242648e-05
-42.000	0.000	-741.500	5.6341207091e-06	-4.6596463996e-03	-5.7762630356e-05
-40.000	0.000	-741.500	-6.4586715760e-06	-4.7337818987e-03	-5.9312124671e-05
-38.000	0.000	-741.500	-1.9381598594e-05	-4.8055105941e-03	-6.0202574808e-05
-36.000	0.000	-741.500	-3.0584694910e-05	-4.8749179123e-03	-6.2100103688e-05
-34.000	0.000	-741.500	-4.3085109407e-05	-4.9406611689e-03	-6.3157166118e-05
-32.000	0.000	-741.500	-5.3867554490e-05	-5.0038731959e-03	-6.4591883076e-05
-30.000	0.000	-741.500	-6.4666751171e-05	-5.0645855641e-03	-6.8129617408e-05
-28.000	0.000	-741.500	-7.5395218884e-05	-5.1215131590e-03	-7.0960175122e-05
-26.000	0.000	-741.500	-8.5118590732e-05	-5.1761268052e-03	-7.5021812550e-05
-24.000	0.000	-741.500	-9.4062082641e-05	-5.2271135319e-03	-7.8746522897e-05
-22.000	0.000	-741.500	-1.0303349388e-04	-5.2750007558e-03	-8.2376819613e-05
-20.000	0.000	-741.500	-1.1098305765e-04	-5.3183306523e-03	-8.7230791051e-05
-18.000	0.000	-741.500	-1.1844496381e-04	-5.3596158797e-03	-9.1251701029e-05
-16.000	0.000	-741.500	-1.2612464073e-04	-5.3964756339e-03	-9.6296350978e-05
-14.000	0.000	-741.500	-1.3285878302e-04	-5.4295153299e-03	-1.0092632145e-04
-12.000	0.000	-741.500	-1.3833097162e-04	-5.4580682683e-03	-1.0581361534e-04
-10.000	0.000	-741.500	-1.4325221878e-04	-5.4837501274e-03	-1.1211155998e-04
-8.000	0.000	-741.500	-1.4805434347e-04	-5.5055487869e-03	-1.1863165433e-04
-6.000	0.000	-741.500	-1.5109755039e-04	-5.5234531043e-03	-1.2471855673e-04
-4.000	0.000	-741.500	-1.5443856350e-04	-5.5364918152e-03	-1.3076473168e-04
-2.000	0.000	-741.500	-1.5710020625e-04	-5.5457773236e-03	-1.3757176943e-04
0.000	0.000	-741.500	-1.5951615891e-04	-5.5518611887e-03	-1.4441398088e-04
2.000	0.000	-741.500	-1.5995914560e-04	-5.5533877262e-03	-1.5143761461e-04
4.000	0.000	-741.500	-1.6098843822e-04	-5.5502287963e-03	-1.5816689995e-04
6.000	0.000	-741.500	-1.6113920260e-04	-5.5447113472e-03	-1.6511463253e-04
8.000	0.000	-741.500	-1.6026439694e-04	-5.5349262784e-03	-1.7246038335e-04
10.000	0.000	-741.500	-1.5875303056e-04	-5.5203387447e-03	-1.7934702475e-04
12.000	0.000	-741.500	-1.5721374486e-04	-5.5026628509e-03	-1.8632067479e-04
14.000	0.000	-741.500	-1.5630729729e-04	-5.4817147440e-03	-1.9198364147e-04
16.000	0.000	-741.500	-1.5359912232e-04	-5.4569391504e-03	-1.9872588555e-04
18.000	0.000	-741.500	-1.5138977271e-04	-5.4288690585e-03	-2.0493497029e-04
20.000	0.000	-741.500	-1.4882119439e-04	-5.3967764844e-03	-2.1169202435e-04
22.000	0.000	-741.500	-1.4554904896e-04	-5.3611034182e-03	-2.1823803618e-04
24.000	0.000	-741.500	-1.4242022276e-04	-5.3233559694e-03	-2.2516355378e-04
26.000	0.000	-741.500	-1.4003032815e-04	-5.2814133280e-03	-2.3100979397e-04
28.000	0.000	-741.500	-1.3639150886e-04	-5.2376117277e-03	-2.3583229420e-04
30.000	0.000	-741.500	-1.3308213766e-04	-5.1906623401e-03	-2.4183959295e-04
32.000	0.000	-741.500	-1.2992911471e-04	-5.1413525763e-03	-2.4767102316e-04
34.000	0.000	-741.500	-1.2662904995e-04	-5.0885254618e-03	-2.5276935930e-04
36.000	0.000	-741.500	-1.2409955869e-04	-5.0334995390e-03	-2.5759371077e-04
38.000	0.000	-741.500	-1.2198699609e-04	-4.9759349582e-03	-2.6230328489e-04
40.000	0.000	-741.500	-1.2010709456e-04	-4.9165764172e-03	-2.6621867375e-04
42.000	0.000	-741.500	-1.1815646407e-04	-4.8544953651e-03	-2.7029697241e-04
44.000	0.000	-741.500	-1.1693918130e-04	-4.7913037662e-03	-2.7439193229e-04
46.000	0.000	-741.500	-1.1528635699e-04	-4.7256162226e-03	-2.7701515026e-04
48.000	0.000	-741.500	-1.1549668260e-04	-4.6593362636e-03	-2.8128042494e-04
50.000	0.000	-741.500	-1.1562697281e-04	-4.5906420725e-03	-2.8446457096e-04
-50.000	0.000	-739.500	6.1921350429e-05	-4.6192042963e-03	-5.5280107206e-05
-48.000	0.000	-739.500	4.7885372806e-05	-4.7090360188e-03	-5.4722881652e-05
-46.000	0.000	-739.500	3.2821963853e-05	-4.7955082444e-03	-5.3695439186e-05
-44.000	0.000	-739.500	1.9751995033e-05	-4.8799228013e-03	-5.3549190618e-05
-42.000	0.000	-739.500	7.1789902791e-06	-4.9612787118e-03	-5.3628794269e-05
-40.000	0.000	-739.500	-5.6248142659e-06	-5.0411805116e-03	-5.5141263630e-05
-38.000	0.000	-739.500	-1.9796665960e-05	-5.1183263725e-03	-5.6031713768e-05
-36.000	0.000	-739.500	-3.1820590566e-05	-5.1932604254e-03	-5.8419823285e-05
-34.000	0.000	-739.500	-4.5032017323e-05	-5.2640419988e-03	-5.9508356925e-05
-32.000	0.000	-739.500	-5.5939168745e-05	-5.3323591984e-03	-6.1207802303e-05
-30.000	0.000	-739.500	-6.7719264539e-05	-5.3977217491e-03	-6.4912148926e-05
-28.000	0.000	-739.500	-7.8989367245e-05	-5.4589169637e-03	-6.8022245042e-05
-26.000	0.000	-739.500	-8.9373496560e-05	-5.5177833728e-03	-7.2330098411e-05
-24.000	0.000	-739.500	-9.8704136506e-05	-5.5726774414e-03	-7.6517620681e-05
-22.000	0.000	-739.500	-1.0843495351e-04	-5.6239167339e-03	-8.0488546972e-05
-20.000	0.000	-739.500	-1.1674374599e-04	-5.6710332606e-03	-8.5261063511e-05
-18.000	0.000	-739.500	-1.2500600626e-04	-5.7151431398e-03	-8.9816984071e-05
-16.000	0.000	-739.500	-1.3278247019e-04	-5.7550021132e-03	-9.5213371081e-05
-14.000	0.000	-739.500	-1.3985536702e-04	-5.7904040425e-03	-1.0012102870e-04
-12.000	0.000	-739.500	-1.4542248133e-04	-5.8208697956e-03	-1.0566181303e-04
-10.000	0.000	-739.500	-1.5058569602e-04	-5.8486668935e-03	-1.1232260221e-04
-8.000	0.000	-739.500	-1.5520355313e-04	-5.8716466697e-03	-1.1930180599e-04
-6.000	0.000	-739.500	-1.5869160804e-04	-5.8903606834e-03	-1.2605515756e-04
-4.000	0.000	-739.500	-1.6221316614e-04	-5.9042740892e-03	-1.3245306957e-04
-2.000	0.000	-739.500	-1.6475754771e-04	-5.9141111568e-03	-1.3945633957e-04
0.000	0.000	-739.500	-1.6681054908e-04	-5.9205107292e-03	-1.4680764414e-04
2.000	0.000	-739.500	-1.6722003258e-04	-5.9217067027e-03	-1.5437924718e-04
