fieldmap_name:	BD-056
timestamp:	2017-04-20_16-35-38
filename:	2017-04-20_BD-056_Model09_Hall_I=991.63A.dat
nr_magnets:	1

magnet_name:	BD-056
gap[mm]:	28
control_gap:	--
magnet_length[mm]:	1206
current_main[A]:	991.63
NI_main[A.esp]:	11899.56
center_pos_z[mm]:	0
center_pos_x[mm]:	0
rotation[deg]:	0

X[mm]	Y[mm]	Z[mm]	Bx	By	Bz [T]
---------------------------------------------------------------------------------------------
-50.000	0.000	-741.500	4.0574044904e-04	-4.1598074821e-03	2.7762791325e-04
-48.000	0.000	-741.500	3.8881761274e-04	-4.2398875637e-03	2.8766537821e-04
-46.000	0.000	-741.500	3.7117631902e-04	-4.3200920711e-03	2.9613853888e-04
-44.000	0.000	-741.500	3.5351268984e-04	-4.3974013570e-03	3.0457652584e-04
-42.000	0.000	-741.500	3.3544702232e-04	-4.4720234168e-03	3.1313484390e-04
-40.000	0.000	-741.500	3.1720267108e-04	-4.5432952651e-03	3.2053057841e-04
-38.000	0.000	-741.500	2.9918353577e-04	-4.6139765551e-03	3.2848353848e-04
-36.000	0.000	-741.500	2.8012580140e-04	-4.6823513248e-03	3.3502399656e-04
-34.000	0.000	-741.500	2.6127280878e-04	-4.7487501383e-03	3.4138858611e-04
-32.000	0.000	-741.500	2.4201219395e-04	-4.8113530359e-03	3.4835112867e-04
-30.000	0.000	-741.500	2.2322806901e-04	-4.8716494133e-03	3.5387525177e-04
-28.000	0.000	-741.500	2.0417591850e-04	-4.9292864211e-03	3.6014357644e-04
-26.000	0.000	-741.500	1.8428060424e-04	-4.9841897752e-03	3.6494201045e-04
-24.000	0.000	-741.500	1.6522100858e-04	-5.0362313356e-03	3.7011995023e-04
-22.000	0.000	-741.500	1.4571098107e-04	-5.0844472666e-03	3.7422416635e-04
-20.000	0.000	-741.500	1.2607996980e-04	-5.1292758440e-03	3.7877268192e-04
-18.000	0.000	-741.500	1.0656994229e-04	-5.1700596541e-03	3.8258440091e-04
-16.000	0.000	-741.500	8.8394458736e-05	-5.2083363768e-03	3.8573337323e-04
-14.000	0.000	-741.500	6.9135705193e-05	-5.2431830327e-03	3.8851764975e-04
-12.000	0.000	-741.500	5.0787121793e-05	-5.2737082131e-03	3.9091871800e-04
-10.000	0.000	-741.500	3.2285912725e-05	-5.3014365983e-03	3.9281069314e-04
